t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,14.0,14.0,0.0,0.0,0.0,11332954,28123,34373,0
0.0,14.0,14.0,0.0,0.0,0.0,11333533,28046,33822,0
0.0,14.0,14.0,0.0,0.0,0.0,11334260,28110,34094,0
0.03224,14.0,14.0,0.0,0.0,0.0,11333531,28025,34306,0
0.03224,14.0,14.0,0.0,0.0,0.0,11332140,28074,28188,0
0.03224,14.0,14.0,0.0,0.0,0.0,11332249,28042,32280,0
0.06351,14.0,14.0,0.0,0.0,0.0,11333800,28033,28266,0
0.06351,14.0,14.0,0.0,0.0,0.0,11336051,28099,31285,0
0.06351,14.0,14.0,0.0,0.0,0.0,11332518,28078,31970,0
0.08054,14.0,14.0,0.0,0.0,0.0,11332325,28093,32755,0
0.08054,14.0,14.0,0.0,0.0,0.0,11332476,28068,36490,0
0.08054,14.0,14.0,0.0,0.0,0.0,11331543,28074,37373,0
0.11209,14.0,14.0,0.0,0.0,0.0,11335262,28083,37223,0
0.11209,14.0,14.0,0.0,0.0,0.0,11335759,28076,33980,0
0.11209,14.0,14.0,0.0,0.0,0.0,11332929,28144,32341,0
0.14428,14.0,14.0,0.0,0.0,0.0,11334281,28046,35603,0
0.14428,14.0,14.0,0.0,0.0,0.0,11332637,28041,34297,0
0.14428,14.0,14.0,0.0,0.0,0.0,11334715,28080,36244,0
0.17646,14.0,14.0,0.0,0.0,0.0,11331104,28072,32010,0
0.17646,14.0,14.0,0.0,0.0,0.0,11332066,28057,31314,0
0.17646,14.0,14.0,0.0,0.0,0.0,11334374,28090,35255,0
0.20987,14.0,14.0,0.0,0.0,-0.0375,11331573,28080,29511,0
0.20987,14.0,14.0,0.0,0.0,-0.0375,11331045,28054,35167,0
0.20987,14.0,14.0,0.0,0.0,-0.0375,11331423,28098,32991,0
0.24048,14.0,14.0,0.0,0.0,-0.0375,11331730,28077,32412,0
0.24048,14.0,14.0,0.0,0.0,-0.0375,11333143,28069,34654,0
0.24048,14.0,14.0,0.0,0.0,-0.0375,11331488,28124,34600,0
0.26043,14.0,14.0,0.0,0.0,-0.0375,11332216,28131,35301,0
0.26043,14.0,14.0,0.0,0.0,-0.0375,11331877,28102,33883,0
0.26043,14.0,14.0,0.0,0.0,-0.0375,11337192,28090,34596,0
0.30651,14.0,14.0,0.0,0.0,-0.0375,11332247,28048,34341,0
0.30651,14.0,14.0,0.0,0.0,-0.0375,11331309,28075,31173,0
0.30651,14.0,14.0,0.0,0.0,-0.0375,11332975,28067,33405,0
0.32126,14.0,14.0,0.0,0.0,-0.0375,11333596,28072,30472,0
0.32126,14.0,14.0,0.0,0.0,-0.0375,11332155,28126,38787,0
0.32126,14.0,14.0,0.0,0.0,-0.0375,11333049,28112,35739,0
0.3552,14.0,14.0,0.0,0.0,-0.0375,11333308,28120,30592,0
0.3552,14.0,14.0,0.0,0.0,-0.0375,11334046,28102,32650,0
0.3552,14.0,14.0,0.0,0.0,-0.0375,11334019,28036,32545,0
0.38744,14.0,14.0,0.0,0.0,-0.0375,11334086,28144,30354,0
0.38744,14.0,14.0,0.0,0.0,-0.0375,11332330,28102,29013,0
0.38744,14.0,14.0,0.0,0.0,-0.0375,11332634,28056,33915,0
0.41985,14.0,14.0,0.0,0.0,-0.1437,11333170,28082,29968,0
0.41985,14.0,14.0,0.0,0.0,-0.1437,11335028,28059,33775,0
0.41985,14.0,14.0,0.0,0.0,-0.1437,11335086,28040,32895,0
0.45293,14.0,14.0,0.0,0.0,-0.1437,11335402,28143,34103,0
0.45293,14.0,14.0,0.0,0.0,-0.1437,11333241,28099,33331,0
0.45293,14.0,14.0,0.0,0.0,-0.1437,11333897,28067,33696,0
0.48382,14.0,14.0,0.0,0.0,-0.1437,11330068,28084,33086,0
0.48382,14.0,14.0,0.0,0.0,-0.1437,11331584,28110,32972,0
0.48382,14.0,14.0,0.0,0.0,-0.1437,11332874,28045,34406,0
0.49957,14.0,14.0,0.0,0.0,-0.1437,11332795,28037,36514,0
0.49957,14.0,14.0,0.0,0.0,-0.1437,11332513,28006,31902,0
0.49957,14.0,14.0,0.0,0.0,-0.1437,11334104,28075,34519,0
0.53343,14.0,14.0,0.0,0.0,-0.1437,11331703,28190,31659,0
0.53714,14.0,14.0,0.0,0.0,-0.1437,11337475,28066,35751,0
