t_s,ldc_raw,r_raw,teng_raw,xa_mm,z_mm,dL_pct,dR_pct,eps_pred_pct,d_pred_mm,eps_act_pct,d_act_mm
260.0522,11973455.0,25106.0,33872.0,0.0,0.0,0.0092,-0.3882,0.0,30.93,0.0,36.0
260.0677,11975115.0,25158.0,35223.0,0.0,0.0,-0.0185,-0.1819,0.0253,31.28,0.0,36.0
260.0677,11972881.0,25241.0,36128.0,0.0,0.0,0.0188,0.1474,0.5292,30.33,0.0,36.0
260.0677,11975411.0,25274.0,34517.0,0.0,0.0,-0.0235,0.2784,0.7475,28.47,0.0,36.0
260.0934,11975017.0,25213.0,35192.0,0.0,0.0,-0.0169,0.0363,0.3483,29.08,0.0,36.0
260.0934,11975435.0,25202.0,33961.0,0.0,0.0,-0.0239,-0.0073,0.2796,29.63,0.0,36.0
260.0934,11974686.0,25219.0,34529.0,0.0,0.0,-0.0114,0.0601,0.386,29.69,0.0,36.0
260.1228,11977262.0,25248.0,35294.0,0.0,0.0,-0.0544,0.1752,0.5755,28.64,0.0,36.0
260.1228,11973810.0,25216.0,34603.0,0.0,0.0,0.0033,0.0482,0.3671,29.23,0.0,36.0
260.1228,11973938.0,25226.0,35170.0,0.0,0.0,0.0011,0.0879,0.4304,29.36,0.0,36.0
260.1537,11972473.0,25205.0,34221.0,0.0,0.0,0.0256,0.0046,0.2983,29.98,0.0,36.0
260.1537,11973907.0,25233.0,34468.0,0.0,0.0,0.0017,0.1157,0.4763,29.65,0.0,36.0
260.1537,11977707.0,25169.0,36307.0,0.0,0.0,-0.0618,-0.1382,0.086,30.31,0.0,36.0
260.1856,11979206.0,25179.0,34859.0,0.0,0.0,-0.0868,-0.0986,0.1412,30.49,0.0,36.0
260.1856,11974404.0,25102.0,35237.0,0.0,0.0,-0.0066,-0.4041,0.0,31.41,0.0,36.0
260.1856,11974218.0,25103.0,35506.0,0.0,0.0,-0.0035,-0.4001,0.0,31.97,0.0,36.0
260.2174,11974407.0,25166.0,34075.0,0.0,0.0,-0.0067,-0.1501,0.0695,31.86,0.0,36.0
260.2174,11974007.0,25096.0,34601.0,0.0,0.0,-0.0,-0.4279,0.0,32.29,0.0,36.0
260.2174,11977159.0,25128.0,34650.0,0.0,0.0,-0.0526,-0.3009,0.0,32.25,0.0,36.0
260.249,11974371.0,25207.0,34351.0,0.0,0.0,-0.0061,0.0125,0.3108,31.52,0.0,36.0
260.249,11975514.0,25181.0,35098.0,0.0,0.0,-0.0252,-0.0906,0.1522,31.42,0.0,36.0
260.249,11975002.0,25186.0,34501.0,0.0,0.0,-0.0166,-0.0708,0.1815,31.32,0.0,36.0
260.2804,11976642.0,25114.0,35140.0,0.0,0.0,-0.044,-0.3565,0.0,31.77,0.0,36.0
260.2804,11974816.0,25229.0,34212.0,0.0,0.0,-0.0135,0.0998,0.45,30.73,0.0,36.0
260.2804,11974710.0,25202.0,35878.0,0.0,0.0,-0.0118,-0.0073,0.2796,30.68,0.0,36.0
260.3129,11973835.0,25127.0,37006.0,0.0,0.0,0.0029,-0.3049,0.0,31.39,0.0,36.0
260.3129,11974473.0,25096.0,35513.0,0.0,0.0,-0.0078,-0.4279,0.0,31.99,0.0,36.0
260.3129,11973332.0,25057.0,34935.0,0.0,0.0,0.0113,-0.5826,0.0,32.61,0.0,36.0
260.3351,11977277.0,25181.0,35369.0,0.0,0.0,-0.0546,-0.0906,0.1522,31.98,0.0,36.0
260.3351,11974445.0,25171.0,35144.0,0.0,0.0,-0.0073,-0.1303,0.0971,31.83,0.0,36.0
260.3351,11973404.0,25164.0,34248.0,0.0,0.0,0.0101,-0.1581,0.0584,31.83,0.0,36.0
260.3603,11973715.0,25187.0,34987.0,0.0,0.0,0.0049,-0.0668,0.1875,31.62,0.0,36.0
260.3603,11973720.0,25267.0,35500.0,0.0,0.0,0.0048,0.2506,0.7012,29.67,0.0,36.0
260.3603,11975902.0,25139.0,34070.0,0.0,0.0,-0.0317,-0.2573,0.0,30.64,0.0,36.0
260.3925,11979994.0,25135.0,35362.0,0.0,0.0,-0.0999,-0.2731,0.0,31.11,0.0,36.0
260.3925,11973893.0,25167.0,35529.0,0.0,0.0,0.0019,-0.1462,0.075,31.36,0.0,36.0
260.3925,11973943.0,25225.0,36098.0,0.0,0.0,0.0011,0.084,0.4238,30.66,0.0,36.0
260.4276,11975210.0,25187.0,34125.0,0.0,0.0,-0.0201,-0.0668,0.1875,30.85,0.0,36.0
260.4276,11974968.0,25151.0,34100.0,0.0,0.0,-0.0161,-0.2097,0.0,31.29,0.0,36.0
260.4276,11976490.0,25256.0,35771.0,0.0,0.0,-0.0415,0.207,0.6285,29.46,0.0,36.0
260.4561,11973947.0,25132.0,34833.0,0.0,0.0,0.001,-0.285,0.0,30.62,0.0,36.0
260.4561,11973536.0,25143.0,33654.0,0.0,0.0,0.0079,-0.2414,0.0,31.26,0.0,36.0
260.4561,11973929.0,25132.0,35096.0,0.0,0.0,0.0013,-0.285,0.0,31.7,0.0,36.0
260.4879,11974686.0,25173.0,35457.0,0.0,0.0,-0.0114,-0.1224,0.1081,31.63,0.0,36.0
260.4879,11974327.0,25152.0,36147.0,0.0,0.0,-0.0054,-0.2057,0.0,31.78,0.0,36.0
260.4879,11974710.0,25159.0,34191.0,0.0,0.0,-0.0118,-0.1779,0.0308,31.79,0.0,36.0
260.521,11975443.0,25159.0,33968.0,0.0,0.0,-0.024,-0.1779,0.0308,31.78,0.0,36.0
260.521,11973848.0,25202.0,34711.0,0.0,0.0,0.0026,-0.0073,0.2796,31.38,0.0,36.0
260.521,11975042.0,25200.0,33767.0,0.0,0.0,-0.0173,-0.0152,0.2671,31.08,0.0,36.0
260.5524,11975570.0,25217.0,35375.0,0.0,0.0,-0.0261,0.0522,0.3734,30.52,0.0,36.0
260.5524,11978241.0,25239.0,35842.0,0.0,0.0,-0.0707,0.1395,0.516,29.29,0.0,36.0
260.5524,11973133.0,25187.0,35184.0,0.0,0.0,0.0146,-0.0668,0.1875,30.12,0.0,36.0
260.5745,11972843.0,25202.0,34923.0,0.0,0.0,0.0194,-0.0073,0.2796,30.46,0.0,36.0
260.5745,11970985.0,25172.0,33934.0,0.0,0.0,0.0505,-0.1263,0.1026,31.04,0.0,36.0
260.5745,11973613.0,25268.0,35124.0,0.0,0.0,0.0066,0.2546,0.7078,29.31,0.0,36.0
260.6,11975141.0,25142.0,34460.0,0.0,0.0,-0.019,-0.2454,0.0,30.43,0.0,36.0
260.6,11973359.0,25154.0,34546.0,0.0,0.0,0.0108,-0.1977,0.0032,31.07,0.0,36.0
260.6,11973948.0,25194.0,36218.0,0.0,0.0,0.001,-0.039,0.23,31.08,0.0,36.0
260.6365,11973854.0,25133.0,35480.0,0.0,0.0,0.0025,-0.2811,0.0,31.59,0.0,36.0
260.6365,11974310.0,25211.0,34244.0,0.0,0.0,-0.0051,0.0284,0.3357,31.06,0.0,36.0
260.6365,11977111.0,25078.0,34838.0,0.0,0.0,-0.0518,-0.4993,0.0,31.82,0.0,36.0
260.6637,11973441.0,25159.0,35183.0,0.0,0.0,0.0094,-0.1779,0.0308,31.87,0.0,36.0
260.6637,11973095.0,25167.0,35012.0,0.0,0.0,0.0152,-0.1462,0.075,31.85,0.0,36.0
260.6637,11973167.0,25195.0,34565.0,0.0,0.0,0.014,-0.0351,0.236,31.57,0.0,36.0
260.6962,11974054.0,25162.0,33490.0,0.0,0.0,-0.0008,-0.166,0.0474,31.67,0.0,36.0
260.6975,11973929.0,25240.0,34967.0,0.0,0.0,0.0013,0.1435,0.5226,30.47,0.0,36.0
260.6975,11973380.0,25174.0,35571.0,0.0,0.0,0.0105,-0.1184,0.1136,30.94,0.0,36.0
260.7338,11973733.0,25227.0,34970.0,0.0,0.0,0.0046,0.0919,0.4369,30.38,0.0,36.0
260.7338,11974959.0,25119.0,34983.0,0.0,0.0,-0.0159,-0.3366,0.0,31.22,0.0,36.0
260.7338,11974238.0,25150.0,35350.0,0.0,0.0,-0.0039,-0.2136,0.0,31.55,0.0,36.0
260.7602,11974521.0,25177.0,35359.0,0.0,0.0,-0.0086,-0.1065,0.1302,31.51,0.0,36.0
260.7602,11973260.0,25200.0,34537.0,0.0,0.0,0.0125,-0.0152,0.2671,31.3,0.0,36.0
260.7602,11974440.0,25191.0,35644.0,0.0,0.0,-0.0072,-0.0509,0.2117,31.23,0.0,36.0
260.7921,11973354.0,25178.0,34571.0,0.0,0.0,0.0109,-0.1025,0.1357,31.35,0.0,36.0
260.7921,11974729.0,25174.0,34695.0,0.0,0.0,-0.0121,-0.1184,0.1136,31.41,0.0,36.0
260.7921,11972153.0,25224.0,34420.0,0.0,0.0,0.031,0.08,0.4174,30.87,0.0,36.0
260.8095,11972473.0,25089.0,34603.0,0.0,0.0,0.0256,-0.4556,0.0,31.78,0.0,36.0
260.8095,11973441.0,25146.0,35476.0,0.0,0.0,0.0094,-0.2295,0.0,31.94,0.0,36.0
260.8095,11973885.0,25186.0,35527.0,0.0,0.0,0.002,-0.0708,0.1815,31.69,0.0,36.0
260.8402,11972019.0,25182.0,36092.0,0.0,0.0,0.0332,-0.0867,0.1578,31.65,0.0,36.0
260.8402,11973036.0,25128.0,34023.0,0.0,0.0,0.0162,-0.3009,0.0,31.99,0.0,36.0
260.8402,11976276.0,25191.0,34108.0,0.0,0.0,-0.0379,-0.0509,0.2117,31.52,0.0,36.0
260.8736,11976351.0,25211.0,35782.0,0.0,0.0,-0.0392,0.0284,0.3357,30.84,0.0,36.0
260.8736,11974069.0,25207.0,34274.0,0.0,0.0,-0.001,0.0125,0.3108,30.7,0.0,36.0
260.8736,11974527.0,25143.0,34930.0,0.0,0.0,-0.0087,-0.2414,0.0,31.28,0.0,36.0
260.9036,11974816.0,25217.0,34236.0,0.0,0.0,-0.0135,0.0522,0.3734,30.7,0.0,36.0
260.9036,11974366.0,25203.0,34424.0,0.0,0.0,-0.006,-0.0033,0.2858,30.68,0.0,36.0
260.9036,11975141.0,25251.0,33861.0,0.0,0.0,-0.019,0.1871,0.5954,29.4,0.0,36.0
260.9349,11972815.0,25096.0,32753.0,0.0,0.0,0.0199,-0.4279,0.0,30.84,0.0,36.0
260.9349,11975352.0,25164.0,35636.0,0.0,0.0,-0.0225,-0.1581,0.0584,31.17,0.0,36.0
260.9349,11974373.0,25250.0,35783.0,0.0,0.0,-0.0061,0.1831,0.5888,29.82,0.0,36.0
260.9667,11975334.0,25189.0,35417.0,0.0,0.0,-0.0222,-0.0589,0.1996,30.32,0.0,36.0
260.9667,11973380.0,25187.0,35136.0,0.0,0.0,0.0105,-0.0668,0.1875,30.73,0.0,36.0
260.9667,11973810.0,25172.0,35395.0,0.0,0.0,0.0033,-0.1263,0.1026,31.09,0.0,36.0
261.0003,11974007.0,25150.0,34197.0,0.0,0.0,-0.0,-0.2136,0.0,31.48,0.0,36.0
261.0003,11975057.0,25134.0,34546.0,0.0,0.0,-0.0175,-0.2771,0.0,31.79,0.0,36.0
261.0003,11974816.0,25169.0,34919.0,0.0,0.0,-0.0135,-0.1382,0.086,31.71,0.0,36.0
261.0305,11977835.0,25127.0,35798.0,0.0,0.0,-0.0639,-0.3049,0.0,31.89,0.0,36.0
261.0305,11979504.0,25215.0,34150.0,0.0,0.0,-0.0918,0.0443,0.3609,30.65,0.0,36.0
261.0311,11974465.0,25223.0,34783.0,0.0,0.0,-0.0077,0.076,0.4111,30.23,0.0,36.0
261.0517,11973781.0,25194.0,34816.0,0.0,0.0,0.0038,-0.039,0.23,30.58,0.0,36.0
261.0517,11973809.0,25157.0,34731.0,0.0,0.0,0.0033,-0.1858,0.0197,31.13,0.0,36.0
261.0517,11975443.0,25226.0,35254.0,0.0,0.0,-0.024,0.0879,0.4304,30.35,0.0,36.0
261.079,11976936.0,25139.0,34688.0,0.0,0.0,-0.0489,-0.2573,0.0,31.02,0.0,36.0
261.079,11973338.0,25176.0,34782.0,0.0,0.0,0.0112,-0.1105,0.1246,31.25,0.0,36.0
261.079,11972645.0,25217.0,33579.0,0.0,0.0,0.0227,0.0522,0.3734,30.87,0.0,36.0
261.1126,11974727.0,25231.0,34197.0,0.0,0.0,-0.012,0.1078,0.4631,30.15,0.0,36.0
261.1146,11974292.0,25178.0,35637.0,0.0,0.0,-0.0048,-0.1025,0.1357,30.67,0.0,36.0
261.1146,11976046.0,25174.0,34061.0,0.0,0.0,-0.0341,-0.1184,0.1136,30.95,0.0,36.0
261.1421,11974710.0,25145.0,34915.0,0.003,0.0,-0.0118,-0.2335,0.0,31.41,0.005,36.0
261.1421,11973993.0,25147.0,35479.0,0.003,0.0,0.0002,-0.2255,0.0,31.69,0.005,36.0
261.1421,11974078.0,25213.0,34200.0,0.003,0.0,-0.0012,0.0363,0.3483,31.1,0.005,36.0
261.1743,11974816.0,25288.0,35205.0,0.003,0.0,-0.0135,0.3339,0.8402,28.57,0.005,36.0
261.1743,11975611.0,25165.0,33899.0,0.003,0.0,-0.0268,-0.1541,0.0639,29.78,0.005,36.0
261.1743,11974710.0,25185.0,35685.0,0.003,0.0,-0.0118,-0.0748,0.1754,30.37,0.005,36.0
261.2084,11974460.0,25096.0,33869.0,0.003,0.0,-0.0076,-0.4279,0.0,31.38,0.005,36.0
261.2084,11973234.0,25158.0,34770.0,0.003,0.0,0.0129,-0.1819,0.0253,31.62,0.005,36.0
261.2084,11972539.0,25206.0,34387.0,0.003,0.0,0.0245,0.0086,0.3045,31.31,0.005,36.0
261.2411,11975471.0,25188.0,33562.0,0.003,0.0,-0.0245,-0.0628,0.1935,31.22,0.005,36.0
261.2411,11973226.0,25174.0,33628.0,0.003,0.0,0.013,-0.1184,0.1136,31.39,0.005,36.0
261.2411,11974481.0,25095.0,33313.0,0.003,0.0,-0.0079,-0.4318,0.0,31.99,0.005,36.0
261.27,11974189.0,25202.0,32619.0,0.022,-0.016,-0.0031,-0.0073,0.2796,31.48,0.0367,35.98
261.27,11973236.0,25196.0,32224.0,0.022,-0.016,0.0129,-0.0311,0.2422,31.34,0.0367,35.98
261.27,11972736.0,25140.0,33398.0,0.022,-0.016,0.0212,-0.2533,0.0,31.73,0.0367,35.98
261.3013,11971775.0,25231.0,34619.0,0.022,-0.016,0.0373,0.1078,0.4631,30.95,0.0367,35.98
261.3013,11972173.0,25200.0,34206.0,0.022,-0.016,0.0306,-0.0152,0.2671,31.02,0.0367,35.98
261.3013,11973330.0,25191.0,34260.0,0.022,-0.016,0.0113,-0.0509,0.2117,31.11,0.0367,35.98
261.3363,11973477.0,25187.0,35499.0,0.022,-0.016,0.0088,-0.0668,0.1875,31.2,0.0367,35.98
261.3363,11972549.0,25188.0,35712.0,0.022,-0.016,0.0243,-0.0628,0.1935,31.28,0.0367,35.98
261.3363,11972736.0,25195.0,35130.0,0.022,-0.016,0.0212,-0.0351,0.236,31.25,0.0367,35.98
261.3667,11971905.0,25156.0,35173.0,0.059,-0.05,0.0351,-0.1898,0.0142,31.6,0.0983,35.95
261.3667,11969592.0,25210.0,33484.0,0.059,-0.05,0.0738,0.0244,0.3295,31.42,0.0983,35.95
261.3667,11972135.0,25210.0,34641.0,0.059,-0.05,0.0313,0.0244,0.3295,31.15,0.0983,35.95
261.3812,11972807.0,25235.0,32888.0,0.059,-0.05,0.02,0.1236,0.4895,30.41,0.0983,35.95
261.3812,11969042.0,25156.0,34779.0,0.059,-0.05,0.083,-0.1898,0.0142,31.19,0.0983,35.95
261.3812,11972198.0,25189.0,34178.0,0.059,-0.05,0.0302,-0.0589,0.1996,31.28,0.0983,35.95
261.4124,11969909.0,25230.0,34065.0,0.059,-0.05,0.0685,0.1038,0.4566,30.86,0.0983,35.95
261.4124,11970154.0,25201.0,36276.0,0.059,-0.05,0.0644,-0.0113,0.2733,31.05,0.0983,35.95
261.4124,11969431.0,25240.0,32796.0,0.059,-0.05,0.0765,0.1435,0.5226,30.55,0.0983,35.95
261.4542,11968703.0,25240.0,33783.0,0.059,-0.05,0.0886,0.1435,0.5226,30.31,0.0983,35.95
261.4542,11964996.0,25216.0,32501.0,0.059,-0.05,0.1507,0.0482,0.3671,30.78,0.0983,35.95
261.4542,11968187.0,25192.0,34403.0,0.059,-0.05,0.0973,-0.047,0.2178,31.17,0.0983,35.95
261.4759,11968796.0,25222.0,35143.0,0.059,-0.05,0.0871,0.0721,0.4048,31.04,0.0983,35.95
261.4759,11966261.0,25206.0,33338.0,0.059,-0.05,0.1295,0.0086,0.3045,31.27,0.0983,35.95
261.4759,11968883.0,25207.0,34744.0,0.059,-0.05,0.0856,0.0125,0.3108,31.28,0.0983,35.95
261.5076,11968839.0,25274.0,34282.0,0.125,-0.109,0.0864,0.2784,0.7475,29.85,0.2083,35.89
261.5076,11965835.0,25176.0,35140.0,0.125,-0.109,0.1366,-0.1105,0.1246,30.82,0.2083,35.89
261.5076,11965529.0,25126.0,35677.0,0.125,-0.109,0.1417,-0.3088,0.0,31.72,0.2083,35.89
261.5417,11965637.0,25235.0,34407.0,0.125,-0.109,0.1399,0.1236,0.4895,31.37,0.2083,35.89
261.5417,11965089.0,25208.0,33141.0,0.125,-0.109,0.1491,0.0165,0.317,31.49,0.2083,35.89
261.5417,11963832.0,25190.0,32124.0,0.125,-0.109,0.1702,-0.0549,0.2057,31.77,0.2083,35.89
261.5621,11970213.0,25183.0,33752.0,0.125,-0.109,0.0634,-0.0827,0.1637,31.77,0.2083,35.89
261.5621,11963222.0,25161.0,34370.0,0.125,-0.109,0.1804,-0.17,0.0418,32.14,0.2083,35.89
261.5621,11963479.0,25220.0,34447.0,0.125,-0.109,0.1761,0.0641,0.3923,31.9,0.2083,35.89
261.6053,11963402.0,25296.0,34766.0,0.194,-0.178,0.1774,0.3657,0.8931,30.23,0.3233,35.82
261.6053,11965067.0,25235.0,34322.0,0.194,-0.178,0.1495,0.1236,0.4895,30.52,0.3233,35.82
261.6053,11960441.0,25186.0,34215.0,0.194,-0.178,0.227,-0.0708,0.1815,31.32,0.3233,35.82
261.6237,11962312.0,25318.0,34848.0,0.194,-0.178,0.1956,0.4529,1.0386,29.36,0.3233,35.82
261.6237,11959906.0,25233.0,34331.0,0.194,-0.178,0.2359,0.1157,0.4763,30.25,0.3233,35.82
261.6237,11962021.0,25271.0,34446.0,0.194,-0.178,0.2005,0.2665,0.7277,30.04,0.3233,35.82
261.6523,11958938.0,25268.0,33767.0,0.194,-0.178,0.2522,0.2546,0.7078,30.24,0.3233,35.82
261.6523,11960668.0,25230.0,34564.0,0.194,-0.178,0.2232,0.1038,0.4566,30.78,0.3233,35.82
261.6523,11957954.0,25232.0,34877.0,0.194,-0.178,0.2687,0.1117,0.4697,31.19,0.3233,35.82
261.6833,11956128.0,25231.0,32135.0,0.194,-0.178,0.2993,0.1078,0.4631,31.51,0.3233,35.82
261.6833,11957719.0,25230.0,34504.0,0.194,-0.178,0.2726,0.1038,0.4566,31.66,0.3233,35.82
261.6833,11957242.0,25228.0,34583.0,0.194,-0.178,0.2806,0.0959,0.4435,31.78,0.3233,35.82
261.7205,11957388.0,25239.0,34735.0,0.284,-0.269,0.2781,0.1395,0.516,31.74,0.4733,35.73
261.7205,11954788.0,25220.0,34497.0,0.284,-0.269,0.3218,0.0641,0.3923,31.98,0.4733,35.73
261.7205,11954101.0,25293.0,33240.0,0.284,-0.269,0.3333,0.3538,0.8732,31.29,0.4733,35.73
261.7468,11954615.0,25281.0,34846.0,0.284,-0.269,0.3247,0.3061,0.7939,31.08,0.4733,35.73
261.7468,11951835.0,25255.0,34850.0,0.284,-0.269,0.3714,0.203,0.6218,31.38,0.4733,35.73
261.7468,11954441.0,25231.0,34387.0,0.284,-0.269,0.3276,0.1078,0.4631,31.69,0.4733,35.73
261.7718,11955022.0,25253.0,35664.0,0.284,-0.269,0.3178,0.195,0.6086,31.63,0.4733,35.73
261.7718,11951911.0,25292.0,33192.0,0.284,-0.269,0.3701,0.3498,0.8666,31.29,0.4733,35.73
261.7718,11952290.0,25281.0,34295.0,0.284,-0.269,0.3637,0.3061,0.7939,31.21,0.4733,35.73
261.8104,11951230.0,25284.0,33404.0,0.391,-0.372,0.3815,0.318,0.8137,31.17,0.6517,35.63
261.8104,11950015.0,25208.0,34481.0,0.391,-0.372,0.4019,0.0165,0.317,31.87,0.6517,35.63
261.8104,11949661.0,25268.0,34676.0,0.391,-0.372,0.4079,0.2546,0.7078,31.8,0.6517,35.63
261.8425,11948504.0,25255.0,34454.0,0.391,-0.372,0.4273,0.203,0.6218,31.94,0.6517,35.63
261.8425,11948217.0,25289.0,35309.0,0.391,-0.372,0.4321,0.3379,0.8468,31.68,0.6517,35.63
261.8425,11949179.0,25332.0,34063.0,0.391,-0.372,0.416,0.5085,1.1313,30.69,0.6517,35.63
261.8582,11947287.0,25284.0,32526.0,0.391,-0.372,0.4478,0.318,0.8137,31.03,0.6517,35.63
261.8582,11947467.0,25299.0,35036.0,0.391,-0.372,0.4448,0.3776,0.9129,31.06,0.6517,35.63
261.8582,11943435.0,25285.0,33934.0,0.391,-0.372,0.5126,0.322,0.8203,31.4,0.6517,35.63
261.8901,11944282.0,25275.0,35163.0,0.391,-0.372,0.4983,0.2823,0.7542,31.66,0.6517,35.63
261.8901,11942084.0,25320.0,33940.0,0.391,-0.372,0.5353,0.4609,1.0519,31.45,0.6517,35.63
261.8901,11943349.0,25348.0,33769.0,0.391,-0.372,0.514,0.572,1.2371,30.73,0.6517,35.63
261.9221,11940995.0,25317.0,33223.0,0.506,-0.487,0.5537,0.449,1.032,30.96,0.8433,35.51
261.9221,11941757.0,25382.0,34561.0,0.506,-0.487,0.5408,0.7069,1.4621,29.75,0.8433,35.51
261.9221,11941351.0,25329.0,33433.0,0.506,-0.487,0.5477,0.4966,1.1114,30.23,0.8433,35.51
261.954,11939880.0,25373.0,35273.0,0.506,-0.487,0.5725,0.6712,1.4025,29.75,0.8433,35.51
261.954,11939097.0,25316.0,35836.0,0.506,-0.487,0.5856,0.445,1.0254,30.46,0.8433,35.51
261.954,11939250.0,25321.0,34963.0,0.506,-0.487,0.5831,0.4648,1.0585,30.83,0.8433,35.51
261.9855,11935953.0,25338.0,33293.0,0.506,-0.487,0.6386,0.5323,1.171,31.01,0.8433,35.51
261.9855,11935252.0,25336.0,35164.0,0.506,-0.487,0.6505,0.5244,1.1577,31.17,0.8433,35.51
