timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
1774178148516,11470137.0000,832.0000,11333.0000,820.0000,11199.0000
1774178148548,11471841.0000,832.0000,11187.0000,842.0000,10843.0000
1774178148548,11470885.0000,832.0000,10884.0000,842.0000,10815.0000
1774178148548,11470605.0000,831.0000,10889.0000,830.0000,10837.0000
1774178148555,11470019.0000,830.0000,10602.0000,834.0000,10617.0000
1774178148571,11473395.0000,831.0000,10776.0000,832.0000,10806.0000
1774178148596,11470956.0000,830.0000,10977.0000,846.0000,10777.0000
1774178148612,11470872.0000,829.0000,10823.0000,823.0000,11153.0000
1774178148612,11471178.0000,830.0000,10735.0000,834.0000,11072.0000
1774178148628,11469620.0000,831.0000,10819.0000,837.0000,10907.0000
1774178148630,11470405.0000,829.0000,10843.0000,828.0000,11261.0000
1774178148654,11472367.0000,830.0000,10715.0000,828.0000,10592.0000
1774178148660,11475865.0000,831.0000,10962.0000,845.0000,11011.0000
1774178148676,11470763.0000,831.0000,10661.0000,837.0000,10345.0000
1774178148704,11473543.0000,831.0000,10851.0000,828.0000,10687.0000
1774178148722,11472184.0000,832.0000,10585.0000,823.0000,10353.0000
1774178148724,11471601.0000,832.0000,10702.0000,833.0000,10789.0000
1774178148725,11476505.0000,832.0000,10685.0000,835.0000,10500.0000
1774178148740,11477930.0000,832.0000,10775.0000,826.0000,10970.0000
1774178148769,11475016.0000,833.0000,10559.0000,832.0000,10425.0000
1774178148786,11472765.0000,832.0000,10668.0000,828.0000,10128.0000
1774178148788,11472432.0000,832.0000,10854.0000,843.0000,11096.0000
1774178148803,11472959.0000,832.0000,10649.0000,832.0000,10464.0000
1774178148821,11473098.0000,831.0000,10689.0000,823.0000,10782.0000
1774178148821,11473529.0000,831.0000,10865.0000,831.0000,11305.0000
1774178148838,11472212.0000,830.0000,10844.0000,830.0000,10991.0000
1774178148854,11471388.0000,831.0000,10736.0000,832.0000,10682.0000
1774178148882,11470684.0000,831.0000,10907.0000,832.0000,11222.0000
1774178148898,11469859.0000,831.0000,10789.0000,832.0000,10871.0000
1774178148929,11470786.0000,831.0000,10947.0000,830.0000,10615.0000
1774178148930,11471796.0000,829.0000,10903.0000,811.0000,11172.0000
1774178148930,11470535.0000,829.0000,10982.0000,835.0000,10966.0000
1774178148930,11471726.0000,830.0000,11047.0000,832.0000,10976.0000
1774178148946,11469802.0000,830.0000,11282.0000,836.0000,11124.0000
1774178148962,11472806.0000,832.0000,11405.0000,829.0000,11625.0000
1774178148998,11472377.0000,832.0000,11367.0000,861.0000,11381.0000
1774178148998,11470649.0000,833.0000,11210.0000,826.0000,11353.0000
1774178149010,11470249.0000,834.0000,11354.0000,835.0000,11416.0000
1774178149010,11470980.0000,833.0000,11359.0000,835.0000,11847.0000
1774178149038,11471601.0000,833.0000,11168.0000,807.0000,10988.0000
1774178149052,11471212.0000,832.0000,11380.0000,841.0000,11718.0000
1774178149068,11471097.0000,832.0000,11106.0000,832.0000,10549.0000
1774178149068,11471042.0000,832.0000,11244.0000,848.0000,11191.0000
1774178149074,11471749.0000,832.0000,11166.0000,836.0000,11093.0000
1774178149101,11469892.0000,831.0000,11236.0000,824.0000,11686.0000
1774178149107,11471601.0000,831.0000,11325.0000,828.0000,11341.0000
1774178149123,11471247.0000,832.0000,11235.0000,829.0000,11252.0000
1774178149139,11471133.0000,831.0000,11294.0000,830.0000,11243.0000
1774178149139,11469329.0000,831.0000,11237.0000,826.0000,11765.0000
1774178149153,11470210.0000,831.0000,11303.0000,842.0000,11427.0000
1774178149172,11469996.0000,830.0000,11293.0000,836.0000,11274.0000
1774178149186,11470628.0000,831.0000,11206.0000,833.0000,10866.0000
1774178149217,11470934.0000,833.0000,11320.0000,859.0000,11428.0000
1774178149217,11469226.0000,832.0000,11323.0000,821.0000,10863.0000
1774178149217,11469347.0000,832.0000,11282.0000,830.0000,10956.0000
1774178149233,11470581.0000,832.0000,11257.0000,831.0000,11439.0000
1774178149252,11469689.0000,832.0000,11349.0000,840.0000,11718.0000
1774178149265,11471236.0000,831.0000,11247.0000,827.0000,11203.0000
1774178149302,11468538.0000,831.0000,11206.0000,844.0000,10617.0000
1774178149302,11469267.0000,831.0000,11247.0000,821.0000,11289.0000
1774178149302,11471191.0000,831.0000,11297.0000,839.0000,10822.0000
1774178149323,11470338.0000,830.0000,11306.0000,829.0000,11512.0000
1774178149339,11469764.0000,831.0000,11236.0000,833.0000,11703.0000
1774178149354,11470362.0000,832.0000,11235.0000,853.0000,11895.0000
1774178149371,11469715.0000,832.0000,11381.0000,812.0000,11535.0000
1774178149393,11470797.0000,832.0000,11235.0000,825.0000,11056.0000
1774178149393,11469581.0000,832.0000,11132.0000,838.0000,11074.0000
1774178149393,11469448.0000,832.0000,11233.0000,830.0000,11329.0000
1774178149408,11470684.0000,831.0000,11268.0000,822.0000,11290.0000
1774178149426,11471601.0000,832.0000,11251.0000,848.0000,11140.0000
1774178149441,11469859.0000,831.0000,11393.0000,825.0000,11573.0000
1774178149473,11470872.0000,831.0000,11273.0000,845.0000,11115.0000
1774178149473,11469010.0000,831.0000,11227.0000,831.0000,10986.0000
1774178149473,11470628.0000,831.0000,11310.0000,830.0000,11164.0000
1774178149487,11471601.0000,831.0000,11282.0000,823.0000,10946.0000
1774178149508,11470239.0000,831.0000,11266.0000,834.0000,11143.0000
1774178149519,11471601.0000,831.0000,11343.0000,833.0000,11351.0000
1774178149538,11470061.0000,831.0000,11204.0000,838.0000,10959.0000
1774178149538,11469544.0000,831.0000,11121.0000,814.0000,10553.0000
1774178149551,11470628.0000,830.0000,11219.0000,827.0000,11261.0000
1774178149576,11470563.0000,831.0000,11241.0000,825.0000,11232.0000
1774178149591,11471305.0000,831.0000,11083.0000,826.0000,11097.0000
1774178149607,11470945.0000,831.0000,11224.0000,843.0000,11130.0000
1774178149621,11468653.0000,831.0000,11215.0000,829.0000,11243.0000
1774178149630,11469515.0000,831.0000,11134.0000,818.0000,10773.0000
1774178149630,11469210.0000,830.0000,11338.0000,832.0000,11196.0000
1774178149646,11469334.0000,830.0000,11187.0000,830.0000,10886.0000
1774178149671,11470910.0000,831.0000,11257.0000,831.0000,10846.0000
1774178149680,11470215.0000,831.0000,11294.0000,829.0000,11650.0000
1774178149694,11470447.0000,831.0000,11178.0000,838.0000,11161.0000
1774178149710,11470848.0000,830.0000,11198.0000,821.0000,10784.0000
1774178149726,11469953.0000,829.0000,11406.0000,826.0000,11687.0000
1774178149737,11470387.0000,830.0000,11289.0000,844.0000,11781.0000
1774178149742,11470922.0000,831.0000,11307.0000,829.0000,11025.0000
1774178149768,11470461.0000,829.0000,11142.0000,835.0000,11418.0000
1774178149774,11470916.0000,829.0000,11259.0000,825.0000,11404.0000
1774178149791,11470640.0000,830.0000,11298.0000,828.0000,10800.0000
1774178149808,11471236.0000,831.0000,11250.0000,860.0000,11135.0000
1774178149808,11469411.0000,831.0000,11298.0000,840.0000,11467.0000
1774178149823,11469727.0000,831.0000,11166.0000,842.0000,11411.0000
1774178149838,11469376.0000,830.0000,11219.0000,828.0000,11023.0000
1774178149854,11477732.0000,829.0000,11053.0000,841.0000,11035.0000
1774178149872,11470019.0000,830.0000,11280.0000,841.0000,11451.0000
1774178149890,11470019.0000,830.0000,10975.0000,833.0000,10553.0000
1774178149901,11471100.0000,830.0000,10788.0000,833.0000,10393.0000
1774178149917,11474954.0000,829.0000,10793.0000,825.0000,10947.0000
1774178149917,11470844.0000,830.0000,10811.0000,823.0000,10921.0000
1774178149936,11471357.0000,827.0000,10737.0000,826.0000,10765.0000
1774178149949,11468903.0000,828.0000,10753.0000,834.0000,10509.0000
1774178149967,11471031.0000,828.0000,10684.0000,831.0000,10752.0000
1774178149981,11470628.0000,828.0000,10847.0000,815.0000,11306.0000
1774178149981,11470995.0000,828.0000,10837.0000,838.0000,11137.0000
1774178149997,11472568.0000,829.0000,10760.0000,829.0000,10909.0000
1774178150013,11470941.0000,829.0000,10685.0000,823.0000,10566.0000
1774178150030,11472100.0000,830.0000,10611.0000,843.0000,10727.0000
1774178150046,11470528.0000,830.0000,10790.0000,825.0000,10563.0000
1774178150062,11473157.0000,830.0000,10886.0000,831.0000,11342.0000
1774178150071,11469210.0000,831.0000,10993.0000,842.0000,11729.0000
1774178150076,11468493.0000,832.0000,10810.0000,831.0000,11252.0000
1774178150092,11471401.0000,832.0000,10970.0000,841.0000,11500.0000
1774178150108,11470368.0000,832.0000,10946.0000,825.0000,10852.0000
1774178150126,11470091.0000,832.0000,11218.0000,839.0000,11410.0000
1774178150126,11470725.0000,831.0000,10925.0000,828.0000,10974.0000
1774178150140,11468538.0000,832.0000,10882.0000,828.0000,11087.0000
1774178150156,11472826.0000,832.0000,10787.0000,834.0000,10564.0000
1774178150173,11469976.0000,832.0000,10966.0000,835.0000,11274.0000
