timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
1774177315622,11800268.0000,783.0000,10759.0000,772.0000,10696.0000
1774177315647,11805538.0000,783.0000,10950.0000,783.0000,10828.0000
1774177315654,11803733.0000,783.0000,11028.0000,780.0000,11403.0000
1774177315670,11803908.0000,783.0000,11064.0000,782.0000,11068.0000
1774177315670,11803323.0000,783.0000,10883.0000,774.0000,10550.0000
1774177315670,11812530.0000,785.0000,10972.0000,783.0000,10629.0000
1774177315686,11802930.0000,783.0000,10819.0000,786.0000,10345.0000
1774177315702,11802866.0000,783.0000,10989.0000,785.0000,11427.0000
1774177315718,11804091.0000,782.0000,10862.0000,786.0000,10462.0000
1774177315734,11803993.0000,782.0000,10885.0000,774.0000,10865.0000
1774177315734,11802832.0000,782.0000,10842.0000,771.0000,10730.0000
1774177315750,11806775.0000,782.0000,10821.0000,781.0000,10639.0000
1774177315766,11805204.0000,782.0000,11026.0000,780.0000,11557.0000
1774177315781,11808856.0000,782.0000,10803.0000,768.0000,10683.0000
1774177315798,11804049.0000,781.0000,10804.0000,735.0000,11065.0000
1774177315814,11803424.0000,781.0000,10746.0000,793.0000,10713.0000
1774177315832,11803120.0000,783.0000,10695.0000,793.0000,10625.0000
1774177315845,11804432.0000,782.0000,10928.0000,782.0000,10793.0000
1774177315845,11803457.0000,783.0000,10645.0000,797.0000,10754.0000
1774177315861,11806189.0000,784.0000,11037.0000,747.0000,11424.0000
1774177315879,11801707.0000,784.0000,11146.0000,780.0000,10997.0000
1774177315897,11802333.0000,783.0000,11433.0000,791.0000,11449.0000
1774177315914,11801879.0000,784.0000,11253.0000,811.0000,11757.0000
1774177315930,11804745.0000,783.0000,11360.0000,769.0000,11413.0000
1774177315947,11802756.0000,782.0000,11140.0000,763.0000,11010.0000
1774177315947,11805847.0000,783.0000,11129.0000,795.0000,10830.0000
1774177315965,11804415.0000,782.0000,11259.0000,777.0000,11196.0000
1774177315980,11801398.0000,782.0000,11000.0000,778.0000,10747.0000
1774177315990,11803783.0000,782.0000,11200.0000,787.0000,11349.0000
1774177316013,11805001.0000,781.0000,11198.0000,786.0000,11087.0000
1774177316021,11802459.0000,782.0000,11156.0000,788.0000,10986.0000
1774177316047,11803432.0000,783.0000,11250.0000,785.0000,11967.0000
1774177316047,11804350.0000,782.0000,11230.0000,786.0000,11594.0000
1774177316054,11802721.0000,782.0000,11255.0000,785.0000,11028.0000
1774177316086,11804111.0000,781.0000,11260.0000,765.0000,11035.0000
1774177316101,11804508.0000,782.0000,11179.0000,802.0000,11153.0000
1774177316105,11804757.0000,781.0000,11184.0000,780.0000,10352.0000
1774177316132,11803271.0000,782.0000,11183.0000,799.0000,10801.0000
1774177316132,11805423.0000,782.0000,11350.0000,772.0000,11353.0000
1774177316132,11805001.0000,781.0000,11532.0000,760.0000,11974.0000
1774177316148,11804213.0000,780.0000,11358.0000,782.0000,11103.0000
1774177316164,11802879.0000,781.0000,11360.0000,782.0000,11502.0000
1774177316180,11802497.0000,780.0000,11562.0000,782.0000,11989.0000
1774177316212,11802959.0000,782.0000,11222.0000,786.0000,11546.0000
1774177316219,11803153.0000,782.0000,11444.0000,781.0000,11544.0000
1774177316219,11801368.0000,781.0000,11519.0000,789.0000,11737.0000
1774177316228,11803758.0000,779.0000,11181.0000,780.0000,11435.0000
1774177316245,11803114.0000,780.0000,11277.0000,778.0000,11250.0000
1774177316263,11802721.0000,781.0000,11296.0000,777.0000,11282.0000
1774177316280,11809568.0000,781.0000,11309.0000,783.0000,11432.0000
1774177316280,11803128.0000,781.0000,11504.0000,781.0000,11846.0000
1774177316296,11803673.0000,781.0000,11267.0000,779.0000,11541.0000
1774177316307,11803668.0000,781.0000,11338.0000,770.0000,11512.0000
1774177316323,11802168.0000,782.0000,11317.0000,785.0000,11268.0000
1774177316355,11802333.0000,782.0000,11348.0000,795.0000,11127.0000
1774177316355,11804165.0000,782.0000,11199.0000,778.0000,11141.0000
1774177316355,11802286.0000,783.0000,11314.0000,786.0000,11208.0000
1774177316371,11803486.0000,782.0000,11384.0000,778.0000,11063.0000
1774177316387,11804430.0000,783.0000,11440.0000,794.0000,11270.0000
1774177316403,11803573.0000,783.0000,11391.0000,785.0000,11238.0000
1774177316424,11803773.0000,783.0000,11141.0000,767.0000,10950.0000
1774177316435,11802799.0000,783.0000,11151.0000,791.0000,10326.0000
1774177316435,11805112.0000,784.0000,11177.0000,786.0000,11086.0000
1774177316450,11803403.0000,784.0000,11194.0000,799.0000,10769.0000
1774177316467,11803478.0000,784.0000,11051.0000,794.0000,10656.0000
1774177316487,11802909.0000,783.0000,11409.0000,785.0000,11139.0000
1774177316498,11802079.0000,784.0000,11493.0000,783.0000,11730.0000
1774177316498,11806401.0000,783.0000,11292.0000,778.0000,11161.0000
1774177316516,11805913.0000,783.0000,11264.0000,784.0000,10954.0000
1774177316530,11812530.0000,783.0000,11194.0000,796.0000,11171.0000
1774177316546,11803424.0000,783.0000,11370.0000,793.0000,11392.0000
1774177316562,11802333.0000,783.0000,11364.0000,780.0000,11805.0000
1774177316578,11804287.0000,783.0000,11317.0000,789.0000,11187.0000
1774177316597,11803600.0000,783.0000,11314.0000,789.0000,11455.0000
1774177316597,11802483.0000,783.0000,11423.0000,780.0000,11205.0000
1774177316614,11803848.0000,784.0000,11226.0000,789.0000,11764.0000
1774177316630,11802441.0000,783.0000,11183.0000,787.0000,11146.0000
1774177316647,11802866.0000,784.0000,11410.0000,787.0000,11967.0000
1774177316674,11803993.0000,783.0000,11272.0000,782.0000,11395.0000
1774177316674,11802829.0000,782.0000,11272.0000,760.0000,11145.0000
1774177316680,11802078.0000,782.0000,11239.0000,777.0000,10924.0000
1774177316692,11802430.0000,782.0000,11161.0000,777.0000,10830.0000
1774177316707,11801707.0000,782.0000,11208.0000,781.0000,11333.0000
1774177316722,11803773.0000,782.0000,10984.0000,788.0000,10698.0000
1774177316753,11803265.0000,782.0000,10808.0000,781.0000,10701.0000
1774177316753,11803396.0000,782.0000,10902.0000,786.0000,10569.0000
1774177316753,11803461.0000,783.0000,10617.0000,788.0000,10649.0000
1774177316770,11803500.0000,782.0000,11066.0000,780.0000,11454.0000
1774177316785,11803661.0000,783.0000,10757.0000,780.0000,10677.0000
1774177316801,11803088.0000,783.0000,10921.0000,784.0000,10686.0000
1774177316817,11803244.0000,783.0000,10829.0000,783.0000,10813.0000
1774177316835,11803205.0000,783.0000,10704.0000,791.0000,10478.0000
1774177316851,11802752.0000,782.0000,10713.0000,769.0000,10478.0000
1774177316851,11803143.0000,782.0000,10765.0000,777.0000,10749.0000
1774177316868,11803590.0000,782.0000,10702.0000,780.0000,10749.0000
1774177316881,11802105.0000,782.0000,10888.0000,774.0000,11093.0000
1774177316897,11803545.0000,782.0000,10659.0000,783.0000,10321.0000
1774177316913,11802524.0000,782.0000,10648.0000,786.0000,10791.0000
1774177316931,11803492.0000,781.0000,10575.0000,789.0000,10744.0000
1774177316963,11803461.0000,780.0000,10727.0000,783.0000,10968.0000
1774177316963,11802968.0000,781.0000,10829.0000,774.0000,10905.0000
1774177316963,11804692.0000,782.0000,10907.0000,779.0000,11127.0000
1774177316976,11805312.0000,782.0000,10662.0000,785.0000,10893.0000
1774177316994,11805001.0000,783.0000,10847.0000,778.0000,11295.0000
1774177317008,11804415.0000,782.0000,10825.0000,778.0000,10337.0000
1774177317024,11809660.0000,783.0000,10673.0000,787.0000,10551.0000
1774177317040,11806386.0000,782.0000,10730.0000,782.0000,10644.0000
1774177317056,11803545.0000,781.0000,10775.0000,781.0000,11058.0000
1774177317056,11804692.0000,782.0000,10925.0000,777.0000,10826.0000
1774177317071,11805474.0000,782.0000,10853.0000,779.0000,11023.0000
1774177317089,11804277.0000,783.0000,10808.0000,766.0000,10977.0000
1774177317106,11804360.0000,783.0000,10706.0000,795.0000,10297.0000
1774177317122,11804195.0000,783.0000,10936.0000,799.0000,11093.0000
