timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
1774178098328,11491780.0000,825.0000,10766.0000,830.0000,10661.0000
1774178098330,11491561.0000,827.0000,10852.0000,826.0000,11445.0000
1774178098357,11493224.0000,827.0000,10948.0000,856.0000,10861.0000
1774178098357,11498855.0000,826.0000,10969.0000,819.0000,10995.0000
1774178098364,11493344.0000,826.0000,10868.0000,835.0000,10522.0000
1774178098371,11494194.0000,827.0000,11011.0000,832.0000,11270.0000
1774178098385,11492516.0000,827.0000,10907.0000,832.0000,10512.0000
1774178098397,11492544.0000,827.0000,10813.0000,828.0000,10687.0000
1774178098403,11492955.0000,827.0000,10866.0000,816.0000,10704.0000
1774178098417,11495601.0000,828.0000,10834.0000,827.0000,10527.0000
1774178098433,11492780.0000,828.0000,11009.0000,836.0000,10965.0000
1774178098471,11492305.0000,827.0000,11154.0000,830.0000,11496.0000
1774178098476,11492393.0000,828.0000,10934.0000,828.0000,10792.0000
1774178098476,11493367.0000,828.0000,10945.0000,828.0000,11133.0000
1774178098480,11492389.0000,828.0000,10878.0000,825.0000,10612.0000
1774178098496,11492649.0000,828.0000,10877.0000,831.0000,10666.0000
1774178098523,11493131.0000,827.0000,10721.0000,829.0000,10387.0000
1774178098540,11492568.0000,827.0000,10892.0000,849.0000,10069.0000
1774178098556,11494791.0000,828.0000,10923.0000,822.0000,11288.0000
1774178098556,11494717.0000,828.0000,10929.0000,827.0000,11005.0000
1774178098572,11493089.0000,828.0000,10886.0000,836.0000,11370.0000
1774178098588,11492774.0000,827.0000,11058.0000,829.0000,11749.0000
1774178098604,11495069.0000,826.0000,10987.0000,814.0000,11153.0000
1774178098620,11494993.0000,827.0000,10754.0000,837.0000,10081.0000
1774178098636,11492040.0000,827.0000,11148.0000,824.0000,11524.0000
1774178098652,11492313.0000,827.0000,10860.0000,833.0000,11081.0000
1774178098668,11492523.0000,828.0000,10912.0000,831.0000,11025.0000
1774178098670,11492216.0000,827.0000,11079.0000,831.0000,11517.0000
1774178098683,11493325.0000,828.0000,11156.0000,839.0000,11526.0000
1774178098698,11493053.0000,828.0000,10896.0000,831.0000,10759.0000
1774178098715,11493668.0000,828.0000,11092.0000,822.0000,11878.0000
1774178098731,11492649.0000,827.0000,10830.0000,818.0000,11250.0000
1774178098762,11493067.0000,827.0000,10819.0000,834.0000,11001.0000
1774178098764,11492963.0000,828.0000,10970.0000,832.0000,10913.0000
1774178098766,11492516.0000,828.0000,10723.0000,831.0000,10448.0000
1774178098766,11492649.0000,827.0000,11076.0000,825.0000,12008.0000
1774178098792,11492417.0000,827.0000,10757.0000,831.0000,10678.0000
1774178098809,11492472.0000,826.0000,10829.0000,820.0000,11088.0000
1774178098825,11492586.0000,826.0000,10904.0000,829.0000,11006.0000
1774178098833,11493325.0000,827.0000,10972.0000,827.0000,11073.0000
1774178098873,11491775.0000,827.0000,11007.0000,807.0000,11324.0000
1774178098875,11492537.0000,827.0000,11008.0000,829.0000,11044.0000
1774178098877,11493202.0000,828.0000,11029.0000,834.0000,11477.0000
1774178098887,11495354.0000,828.0000,10816.0000,829.0000,10636.0000
1774178098904,11494468.0000,827.0000,10880.0000,835.0000,11243.0000
1774178098921,11492461.0000,828.0000,10853.0000,837.0000,10390.0000
1774178098951,11492855.0000,829.0000,11131.0000,843.0000,11248.0000
1774178098951,11492327.0000,828.0000,10937.0000,837.0000,11044.0000
1774178098951,11493623.0000,829.0000,10738.0000,868.0000,10241.0000
1774178098967,11493521.0000,829.0000,11013.0000,825.0000,10661.0000
1774178098981,11493053.0000,829.0000,11001.0000,810.0000,11436.0000
1774178098998,11493349.0000,828.0000,10902.0000,820.0000,10686.0000
1774178099015,11492260.0000,828.0000,11077.0000,835.0000,10952.0000
1774178099017,11492082.0000,828.0000,10760.0000,831.0000,10961.0000
1774178099031,11492780.0000,828.0000,10824.0000,840.0000,11320.0000
1774178099041,11495500.0000,828.0000,10996.0000,825.0000,10830.0000
1774178099062,11491792.0000,829.0000,10944.0000,824.0000,11163.0000
1774178099083,11492814.0000,828.0000,10848.0000,830.0000,10264.0000
1774178099093,11493334.0000,829.0000,10942.0000,808.0000,11396.0000
1774178099095,11491802.0000,828.0000,10932.0000,826.0000,10816.0000
1774178099109,11492997.0000,826.0000,10781.0000,830.0000,10557.0000
1774178099124,11494885.0000,827.0000,11003.0000,830.0000,11317.0000
1774178099131,11494717.0000,827.0000,10902.0000,824.0000,10847.0000
1774178099147,11492523.0000,827.0000,10846.0000,833.0000,10697.0000
1774178099172,11492986.0000,825.0000,10800.0000,832.0000,11060.0000
1774178099174,11493215.0000,827.0000,10796.0000,845.0000,10572.0000
1774178099189,11490990.0000,827.0000,10698.0000,826.0000,10098.0000
1774178099205,11491780.0000,827.0000,10944.0000,829.0000,11410.0000
1774178099218,11492649.0000,828.0000,10779.0000,846.0000,10604.0000
1774178099237,11492649.0000,827.0000,10827.0000,834.0000,11061.0000
1774178099239,11492649.0000,827.0000,10744.0000,833.0000,10941.0000
1774178099249,11493486.0000,827.0000,10890.0000,827.0000,11354.0000
1774178099269,11493325.0000,827.0000,10713.0000,827.0000,10256.0000
1774178099277,11492780.0000,827.0000,10873.0000,839.0000,11004.0000
1774178099300,11492170.0000,827.0000,10767.0000,826.0000,10921.0000
1774178099316,11492605.0000,828.0000,10935.0000,817.0000,10786.0000
1774178099331,11492280.0000,828.0000,10847.0000,814.0000,11421.0000
1774178099333,11493234.0000,828.0000,10850.0000,846.0000,10861.0000
1774178099347,11492997.0000,828.0000,10865.0000,826.0000,10870.0000
1774178099363,11494114.0000,829.0000,10958.0000,820.0000,10783.0000
1774178099379,11493070.0000,828.0000,10939.0000,817.0000,10761.0000
1774178099401,11492649.0000,827.0000,10800.0000,831.0000,10613.0000
1774178099410,11491117.0000,827.0000,10745.0000,832.0000,10770.0000
1774178099410,11492511.0000,827.0000,11167.0000,814.0000,11266.0000
1774178099420,11489947.0000,827.0000,10919.0000,852.0000,11163.0000
1774178099433,11493851.0000,828.0000,10965.0000,859.0000,10798.0000
1774178099449,11491715.0000,828.0000,10836.0000,830.0000,10967.0000
1774178099489,11493876.0000,828.0000,10933.0000,818.0000,10976.0000
1774178099491,11492382.0000,828.0000,10770.0000,815.0000,10593.0000
1774178099491,11492208.0000,828.0000,11078.0000,839.0000,11685.0000
1774178099504,11493783.0000,828.0000,10856.0000,823.0000,11006.0000
1774178099522,11491318.0000,829.0000,10889.0000,840.0000,10333.0000
1774178099537,11492997.0000,829.0000,10850.0000,831.0000,11028.0000
1774178099553,11492327.0000,830.0000,11044.0000,851.0000,11000.0000
1774178099555,11492512.0000,830.0000,10899.0000,824.0000,10842.0000
1774178099569,11492355.0000,829.0000,10997.0000,839.0000,11411.0000
1774178099585,11491862.0000,829.0000,10914.0000,832.0000,11414.0000
1774178099600,11492820.0000,829.0000,10907.0000,808.0000,11274.0000
1774178099617,11490878.0000,828.0000,11008.0000,826.0000,11387.0000
1774178099633,11493783.0000,828.0000,10998.0000,830.0000,10995.0000
1774178099649,11492795.0000,827.0000,10917.0000,817.0000,10343.0000
1774178099664,11491862.0000,827.0000,10732.0000,828.0000,10451.0000
1774178099665,11494364.0000,827.0000,10684.0000,832.0000,10592.0000
1774178099680,11492086.0000,827.0000,11043.0000,838.0000,11127.0000
1774178099695,11492753.0000,827.0000,10739.0000,831.0000,11335.0000
1774178099711,11492997.0000,827.0000,11025.0000,828.0000,11125.0000
1774178099727,11493283.0000,827.0000,10848.0000,838.0000,10629.0000
1774178099744,11492050.0000,827.0000,10970.0000,840.0000,11419.0000
1774178099760,11492649.0000,826.0000,10764.0000,822.0000,10864.0000
1774178099762,11493257.0000,828.0000,10911.0000,865.0000,10635.0000
1774178099774,11492916.0000,827.0000,10719.0000,832.0000,10460.0000
1774178099784,11492255.0000,827.0000,11126.0000,824.0000,11092.0000
1774178099800,11492144.0000,826.0000,10979.0000,816.0000,11019.0000
