eps_act_pct,d_act_mm,dL_pct,dR_pct
7.5,19.42,3.988544386716164,3.9862031121389094
16.25,26.82,10.041209284950781,9.920432720573826
3.75,36.0,2.1901184898620807,2.0656136087484813
30.0,8.49,17.090062267984884,18.94720338650884
10.0,5.01,-1.0685268093628242,5.989103594246071
13.51,7.14,3.591349932285981,8.314411514995951
12.5,14.49,6.4875563811268355,7.451103359071845
18.9217,25.37,11.910778268557598,11.793393488261891
20.0,14.33,11.663118553431385,12.346646807509897
15.4633,23.85,8.82791783564134,8.618476908800126
20.0,33.77,12.948794306140865,12.299611962528907
11.25,26.44,6.835422735120256,6.6750284168855085
17.5733,26.89,11.148720035570614,10.620569826445792
10.6983,5.62,-1.1246195930349367,5.411969119592473
2.5,16.93,0.5724336453976075,1.081801434562772
19.9267,19.29,12.214759593413337,12.23172152348609
13.4267,4.11,-1.1743093873904042,8.132762058957095
9.1717,8.66,1.5457247686761821,5.301399885481865
4.4317,8.66,-1.1552378089041193,2.5213734278437023
28.105,16.26,17.377090131434002,17.3297529962288
14.2183,26.89,8.24477277152762,8.239382391849468
2.5,10.6,-1.3728224731661465,1.383608356524125
20.13,32.96,12.474660945507798,11.718364365115406
30.0,4.11,10.29322746549941,18.62104369459198
9.615,17.77,4.7800454847387375,5.305348786700101
8.75,26.89,5.248993103516786,5.31493748285188
7.5,21.57,4.168981095661151,4.248814329949437
1.4533,29.93,0.6814886787996244,0.6140541394357021
13.75,31.86,8.680305137301048,8.427076392427391
6.985,23.85,4.0403780914225695,4.250992161431082
0.0,29.93,-0.18754439199094586,-0.5785140284715778
17.5,8.17,7.068474102711075,10.64947281777917
11.25,13.22,5.331193200076378,6.78477638850782
9.3067,17.77,4.804316292337907,5.340888897664224
20.9167,26.89,13.207179107283839,12.630560546527928
23.75,30.32,15.623908993334057,14.886528436483362
19.395,26.89,11.619503766381634,11.667028649278338
10.8233,32.96,6.300107303582614,6.272829585167927
23.8533,7.14,10.311735566519364,14.561573242245347
11.8533,36.0,7.749231920403643,7.335084012873418
9.3967,16.26,4.63405979893603,5.332991095227753
26.25,5.68,10.562299418331689,16.238780229686824
9.7917,28.41,6.271682306645343,6.233340572985567
9.4583,7.14,0.7617299586240245,5.6725965999960515
13.36,31.44,8.031985770261741,7.883981282208226
21.25,16.93,12.98392476494108,13.263826284639205
6.25,32.84,3.7648307640987477,3.460980676517854
12.5,9.12,4.793571911376326,7.643162309410889
6.4583,5.62,-3.157275054951514,3.7889707188974673
22.5,7.57,10.244411158874978,14.035981656410456
24.4367,10.18,12.8754369605935,14.545777637372401
27.5,4.65,9.500193184496553,17.116764002665306
14.7967,31.44,9.355168589904128,9.119987363516103
6.25,14.86,2.4855561036993823,3.9862031121389094
8.995,1.07,-17.605212338029908,4.934152072185914
1.25,20.48,0.220150576389333,0.270450358640693
25.2817,25.37,15.810690977719277,15.54090074436788
13.75,19.62,8.111218533473007,8.125269470466037
5.0,33.06,2.9140882104597754,2.771136283463332
4.0367,28.41,2.2480458739329245,2.2488992437854165
6.25,26.07,3.594294569714962,3.5432916552345866
25.735,26.89,16.734685961270568,16.338578790451557
21.9217,10.18,11.367715731953565,13.203151223172153
15.1617,31.44,9.276959025023723,8.80407526605722
13.75,33.86,8.69330713725185,8.31732842080508
17.5,16.97,10.391678769600965,10.829773056872966
12.2817,34.48,7.504836613821175,7.311390605564001
10.0,18.51,5.400762144929527,6.192921255830361
1.0783,22.33,0.03900666642298045,0.5192805101980373
2.5,20.66,0.8050864050845652,1.3796887861090423
4.0683,1.07,-21.705701979254886,2.0751475901830316
3.1667,2.59,-14.386825911564793,1.4433233952652673
2.75,2.59,-14.61620084737405,1.340651963591131
21.25,4.84,5.937748336319237,13.216791439658213
13.1517,5.62,1.1891770716406125,7.69048512251466
8.5883,32.96,5.0137073837907,4.677473493000573
21.25,22.11,13.496150362229686,13.32261984086544
25.495,20.81,15.990208482009539,15.485616127312577
21.25,17.32,13.080734416246198,13.107043468035902
2.5,24.08,1.0200094612908828,1.3953670677693726
8.89,7.14,0.1802310377908567,4.945998775840622
22.7967,32.96,14.95539620277999,14.28909905818706
27.5,20.77,18.12504806518527,17.085407439344646
7.12,16.26,3.734273434023927,4.515568543052895
18.75,21.19,11.637115723667879,11.343236781248775
19.0267,36.0,11.692215689910078,11.374809959128871
1.25,30.33,0.48431605167944536,0.7682358013561713
11.25,26.44,6.7883764668073,6.569200015678282
13.4367,16.26,6.857616242788378,7.331135111655182
21.735,36.0,13.888375468049485,13.18151530592247
10.6617,5.62,-0.15961637666457307,6.632179596027406
1.25,18.46,-0.1553845929526787,0.7995923646768315
26.89,8.66,14.119156838964564,16.796651331766935
17.5,16.97,10.32871180753705,10.759220789401482
20.3133,8.66,9.43616540747152,12.338341856378463
16.25,29.42,10.260480454557408,10.026261121781053
0.0,2.59,-17.206660338301006,-0.2783975358856398
11.9117,10.18,4.524144290035403,6.959938397140995
1.25,18.88,-0.028495817665141754,0.9485360404499666
11.25,12.68,5.291153618645872,6.53392388194254
12.005,11.7,5.533692797007506,7.44170434576579
10.0,2.76,-7.699399199272228,5.906792615529338
19.505,13.22,10.568671352119118,11.702568760242462
18.75,36.0,12.120201951554543,11.476502175361581
19.2867,4.11,2.525212414366562,11.611744032223035
27.5317,26.89,17.8752004799136,16.915118368314015
10.4733,1.07,-15.703318866114158,6.134618042529666
27.5,12.15,16.523349865484604,17.304903382589266
15.8333,5.62,3.155661461843473,9.404308251229097
1.7967,31.44,0.9774847356244676,0.6653898552727703
15.1467,17.77,9.081038619362136,9.285841214682014
2.5,29.77,1.2484410503323273,1.0935601458080195
24.74,31.44,16.015923785021634,15.363200189547257
6.0417,16.26,2.212265525487922,3.0307816849961497
26.235,14.74,15.770627644914658,15.991075483246785
2.2283,11.7,-1.2362251467762042,0.9615574466404722
0.0,13.22,-2.0640464126105207,-0.3810689675597765
27.5317,14.74,16.700771389279122,17.10071672557111
20.995,34.48,13.726102974467857,13.372953975556301
17.9783,36.0,11.325273274461821,10.770628072738761
18.4583,5.62,4.587668900146169,10.991766540959977
0.0,5.62,-8.59682575688867,-0.30603984441329196
20.0,15.15,11.710304125541793,12.526947046603693
6.25,1.0,-19.08360827706781,3.727511464743464
30.0,22.33,19.614414085597033,18.83823326159496
