t_s,ldc_raw,r_raw,teng_raw,xa_mm,z_mm,dL_pct,dR_pct,eps_pred_pct,d_pred_mm,eps_act_pct,d_act_mm
58.1331,11943672.0,25306.0,33223.0,0.0,0.0,0.0538,0.0185,2.9097,27.6,0.0,36.0
58.1331,11944194.0,25298.0,33385.0,0.0,0.0,0.0451,-0.0131,2.8851,27.93,0.0,36.0
58.1331,11944343.0,25333.0,34271.0,0.0,0.0,0.0426,0.1252,2.9939,27.89,0.0,36.0
58.1643,11946288.0,25333.0,32354.0,0.0,0.0,0.01,0.1252,2.9939,27.68,0.0,36.0
58.1643,11944101.0,25363.0,32505.0,0.0,0.0,0.0466,0.2438,3.0902,27.57,0.0,36.0
58.1643,11943736.0,25349.0,33295.0,0.0,0.0,0.0527,0.1884,3.0449,27.63,0.0,36.0
58.1975,11944648.0,25284.0,33430.0,0.0,0.0,0.0374,-0.0685,2.8427,27.99,0.0,36.0
58.1975,11944206.0,25371.0,32992.0,0.0,0.0,0.0449,0.2754,3.1164,27.69,0.0,36.0
58.1975,11944435.0,25311.0,33215.0,0.0,0.0,0.041,0.0383,2.9251,27.88,0.0,36.0
58.2279,11943103.0,25357.0,33213.0,0.006,0.0,0.0633,0.2201,3.0707,27.82,0.01,36.0
58.2279,11944132.0,25318.0,34198.0,0.006,0.0,0.0461,0.0659,2.9468,27.94,0.01,36.0
58.2279,11943233.0,25294.0,33420.0,0.006,0.0,0.0612,-0.0289,2.873,28.25,0.01,36.0
58.2602,11941678.0,25312.0,34409.0,0.006,0.0,0.0872,0.0422,2.9282,28.47,0.01,36.0
58.2602,11943291.0,25255.0,34149.0,0.006,0.0,0.0602,-0.1831,2.7568,9.03,0.01,36.0
58.2602,11949432.0,25376.0,35427.0,0.006,0.0,-0.0426,0.2952,3.1329,25.92,0.01,36.0
58.2922,11943769.0,25324.0,34666.0,0.006,0.0,0.0522,0.0896,2.9656,26.8,0.01,36.0
58.2922,11941245.0,25270.0,33737.0,0.006,0.0,0.0945,-0.1238,2.8009,9.59,0.01,36.0
58.2922,11943051.0,25282.0,34295.0,0.006,0.0,0.0642,-0.0764,2.8367,28.95,0.01,36.0
58.3255,11943411.0,25328.0,33142.0,0.034,0.0,0.0582,0.1054,2.9781,28.62,0.0567,36.0
58.3255,11941328.0,25334.0,33452.0,0.034,0.0,0.0931,0.1292,2.9971,28.58,0.0567,36.0
58.3255,11940573.0,25377.0,33688.0,0.034,0.0,0.1057,0.2991,3.1362,28.35,0.0567,36.0
58.357,11940685.0,25254.0,32450.0,0.034,0.0,0.1039,-0.187,2.7539,8.31,0.0567,36.0
58.357,11941196.0,25316.0,33218.0,0.034,0.0,0.0953,0.058,2.9406,28.85,0.0567,36.0
58.357,11944146.0,25318.0,33796.0,0.034,0.0,0.0459,0.0659,2.9468,28.56,0.0567,36.0
58.3722,11942003.0,25289.0,33858.0,0.034,0.0,0.0818,-0.0487,2.8578,28.77,0.0567,36.0
58.3722,11941370.0,25333.0,34823.0,0.034,0.0,0.0924,0.1252,2.9939,28.67,0.0567,36.0
58.3722,11941638.0,25270.0,33902.0,0.034,0.0,0.0879,-0.1238,2.8009,9.75,0.0567,36.0
58.4205,11940619.0,25241.0,33398.0,0.034,0.0,0.105,-0.2384,2.7162,7.71,0.0567,36.0
58.4205,11940602.0,25410.0,33087.0,0.034,0.0,0.1053,0.4295,3.2471,27.43,0.0567,36.0
58.4205,11941522.0,25296.0,33114.0,0.034,0.0,0.0898,-0.021,2.879,28.09,0.0567,36.0
58.4354,11942714.0,25263.0,33280.0,0.081,0.0,0.0699,-0.1515,2.7802,9.5,0.135,36.0
58.4354,11938918.0,25295.0,34504.0,0.081,0.0,0.1335,-0.025,2.876,11.69,0.135,36.0
58.4354,11940531.0,25298.0,33711.0,0.081,0.0,0.1064,-0.0131,2.8851,29.29,0.135,36.0
58.4673,11938408.0,25288.0,32603.0,0.081,0.0,0.1421,-0.0526,2.8548,10.3,0.135,36.0
58.4673,11937425.0,25427.0,33170.0,0.081,0.0,0.1585,0.4967,3.3056,27.87,0.135,36.0
58.4673,11940505.0,25357.0,34988.0,0.081,0.0,0.1069,0.2201,3.0707,28.06,0.135,36.0
58.5012,11937737.0,25206.0,33488.0,0.081,0.0,0.1533,-0.3767,2.6174,6.27,0.135,36.0
58.5012,11936772.0,25325.0,31592.0,0.081,0.0,0.1695,0.0936,2.9687,29.72,0.135,36.0
58.5012,11935684.0,25391.0,34220.0,0.081,0.0,0.1878,0.3544,3.1828,29.39,0.135,36.0
58.5314,11935743.0,25305.0,33102.0,0.081,0.0,0.1868,0.0145,2.9066,11.17,0.135,36.0
58.5314,11936935.0,25435.0,34441.0,0.081,0.0,0.1668,0.5284,3.3334,27.84,0.135,36.0
58.5314,11939408.0,25278.0,33486.0,0.081,0.0,0.1253,-0.0922,2.8247,9.64,0.135,36.0
58.5673,11935250.0,25315.0,32733.0,0.15,0.0,0.1951,0.0541,2.9375,30.22,0.25,36.0
58.5673,11934756.0,25347.0,33326.0,0.15,0.0,0.2033,0.1805,3.0385,30.06,0.25,36.0
58.5673,11934492.0,25419.0,33835.0,0.15,0.0,0.2078,0.4651,3.2779,29.51,0.25,36.0
58.5956,11933954.0,25314.0,33664.0,0.15,0.0,0.2168,0.0501,2.9344,11.45,0.25,36.0
58.5956,11937733.0,25354.0,33671.0,0.15,0.0,0.1534,0.2082,3.061,29.03,0.25,36.0
58.5956,11932377.0,25393.0,32298.0,0.15,0.0,0.2433,0.3624,3.1895,29.26,0.25,36.0
58.6277,11931643.0,25392.0,33066.0,0.15,0.0,0.2556,0.3584,3.1861,29.47,0.25,36.0
58.6277,11932512.0,25249.0,32290.0,0.15,0.0,0.241,-0.2068,2.7393,6.87,0.25,36.0
58.6277,11931938.0,25365.0,33267.0,0.15,0.0,0.2507,0.2517,3.0968,30.16,0.25,36.0
58.6441,11931771.0,25342.0,32714.0,0.15,0.0,0.2535,0.1608,3.0225,30.32,0.25,36.0
58.6441,11930781.0,25384.0,32747.0,0.15,0.0,0.2701,0.3268,3.1594,30.23,0.25,36.0
58.6441,11930828.0,25399.0,32423.0,0.15,0.0,0.2693,0.3861,3.2097,30.08,0.25,36.0
58.6776,11930465.0,25339.0,34847.0,0.231,0.0,0.2754,0.1489,3.0129,30.4,0.385,36.0
58.6776,11929184.0,25319.0,34045.0,0.231,0.0,0.297,0.0699,2.9499,9.56,0.385,36.0
58.6776,11927371.0,25391.0,33076.0,0.231,0.0,0.3275,0.3544,3.1828,30.72,0.385,36.0
58.713,11927840.0,25442.0,32820.0,0.231,0.0,0.3196,0.556,3.358,30.34,0.385,36.0
58.713,11927774.0,25308.0,33607.0,0.231,0.0,0.3207,0.0264,2.9158,8.38,0.385,36.0
58.713,11927110.0,25329.0,33300.0,0.231,0.0,0.3319,0.1094,2.9813,9.71,0.385,36.0
58.74,11924874.0,25370.0,32619.0,0.231,0.0,0.3695,0.2714,3.1131,31.58,0.385,36.0
58.74,11925465.0,25377.0,32393.0,0.231,0.0,0.3595,0.2991,3.1362,31.48,0.385,36.0
58.74,11927152.0,25555.0,34739.0,0.231,0.0,0.3312,1.0026,3.7776,30.03,0.385,36.0
58.7729,11926037.0,25304.0,35410.0,0.334,0.0,0.3499,0.0106,2.9035,7.86,0.5567,36.0
58.7729,11925829.0,25446.0,32619.0,0.334,0.0,0.3534,0.5718,3.3721,30.13,0.5567,36.0
58.7729,11924442.0,25419.0,32315.0,0.334,0.0,0.3768,0.4651,3.2779,30.43,0.5567,36.0
58.8044,11922609.0,25405.0,34519.0,0.334,0.0,0.4076,0.4098,3.23,30.85,0.5567,36.0
58.8044,11923036.0,25453.0,33966.0,0.334,0.0,0.4004,0.5995,3.3969,30.74,0.5567,36.0
58.8044,11921613.0,25423.0,32876.0,0.334,0.0,0.4244,0.4809,3.2917,31.0,0.5567,36.0
58.8365,11921896.0,25355.0,33143.0,0.334,0.0,0.4196,0.2122,3.0643,10.21,0.5567,36.0
58.8365,11921860.0,25437.0,33417.0,0.334,0.0,0.4202,0.5363,3.3405,31.1,0.5567,36.0
58.8365,11919325.0,25403.0,33727.0,0.334,0.0,0.463,0.4019,3.2232,31.52,0.5567,36.0
58.8694,11918780.0,25318.0,33377.0,0.334,0.0,0.4722,0.0659,2.9468,7.28,0.5567,36.0
58.8694,11921330.0,25358.0,33868.0,0.334,0.0,0.4292,0.224,3.074,10.29,0.5567,36.0
58.8694,11918231.0,25452.0,32131.0,0.334,0.0,0.4814,0.5955,3.3934,31.57,0.5567,36.0
58.8844,11916484.0,25375.0,33086.0,0.459,0.0,0.5109,0.2912,3.1296,9.95,0.765,36.0
58.8852,11915784.0,25389.0,34316.0,0.459,0.0,0.5227,0.3465,3.1761,11.5,0.765,36.0
58.8852,11916108.0,25363.0,33655.0,0.459,0.0,0.5172,0.2438,3.0902,8.8,0.765,36.0
58.9159,11918288.0,25422.0,33242.0,0.459,0.0,0.4804,0.477,3.2883,32.04,0.765,36.0
58.9159,11914667.0,25408.0,33882.0,0.459,0.0,0.5415,0.4216,3.2402,32.39,0.765,36.0
58.9159,11913117.0,25470.0,33895.0,0.459,0.0,0.5677,0.6667,3.4579,32.32,0.765,36.0
58.9482,11912493.0,25523.0,33834.0,0.459,0.0,0.5782,0.8762,3.6543,31.97,0.765,36.0
58.9482,11911363.0,25373.0,33386.0,0.459,0.0,0.5973,0.2833,3.123,8.26,0.765,36.0
58.9482,11913274.0,25486.0,34809.0,0.459,0.0,0.565,0.7299,3.5162,31.93,0.765,36.0
58.9803,11908412.0,25531.0,31801.0,0.459,0.0,0.6472,0.9078,3.6848,31.97,0.765,36.0
58.9803,11909139.0,25420.0,32922.0,0.459,0.0,0.6349,0.4691,3.2814,32.64,0.765,36.0
58.9803,11907934.0,25394.0,34502.0,0.459,0.0,0.6553,0.3663,3.1929,8.64,0.765,36.0
59.0116,11909555.0,25439.0,32553.0,0.597,0.0,0.6279,0.5442,3.3475,33.29,0.995,36.0
59.0116,11908258.0,25453.0,34214.0,0.597,0.0,0.6498,0.5995,3.3969,33.29,0.995,36.0
59.0116,11909788.0,25447.0,33803.0,0.597,0.0,0.6239,0.5758,3.3757,33.23,0.995,36.0
59.0433,11906945.0,25441.0,33245.0,0.597,0.0,0.672,0.5521,3.3545,33.4,0.995,36.0
59.0433,11904941.0,25431.0,33278.0,0.597,0.0,0.7059,0.5125,3.3195,11.03,0.995,36.0
59.0433,11903212.0,25527.0,33296.0,0.597,0.0,0.7351,0.892,3.6695,32.92,0.995,36.0
59.077,11902126.0,25465.0,32825.0,0.597,0.0,0.7535,0.6469,3.4399,33.35,0.995,36.0
59.077,11902390.0,25489.0,32345.0,0.597,0.0,0.7491,0.7418,3.5272,33.45,0.995,36.0
