t_s,ldc_raw,r_raw,teng_raw,xa_mm,z_mm,dL_pct,dR_pct,eps_pred_pct,d_pred_mm,eps_act_pct,d_act_mm
654.9408,11883713.0,25435.0,34200.0,0.109,0.0,0.2075,-0.1357,2.792,7.61,0.1817,36.0
654.9684,11881226.0,25533.0,33560.0,0.184,0.0,0.2494,0.2491,3.0946,30.15,0.3067,36.0
654.9684,11882090.0,25602.0,32998.0,0.184,0.0,0.2348,0.52,3.3261,29.61,0.3067,36.0
654.9684,11879973.0,25464.0,33929.0,0.184,0.0,0.2706,-0.0218,2.8784,8.34,0.3067,36.0
655.0055,11882225.0,25559.0,33132.0,0.184,0.0,0.2326,0.3512,3.18,29.5,0.3067,36.0
655.0055,11880193.0,25494.0,32553.0,0.184,0.0,0.2669,0.096,2.9706,11.83,0.3067,36.0
655.0055,11881543.0,25514.0,33508.0,0.184,0.0,0.2441,0.1745,3.0336,30.39,0.3067,36.0
655.0343,11877857.0,25517.0,33097.0,0.184,0.0,0.3063,0.1863,3.0431,30.69,0.3067,36.0
655.0343,11877675.0,25515.0,34356.0,0.184,0.0,0.3094,0.1784,3.0368,30.9,0.3067,36.0
655.0343,11880083.0,25561.0,33325.0,0.184,0.0,0.2687,0.359,3.1867,30.52,0.3067,36.0
655.0636,11879697.0,25577.0,34292.0,0.281,0.0,0.2752,0.4218,3.2404,30.22,0.4683,36.0
655.0656,11877408.0,25572.0,33559.0,0.281,0.0,0.3139,0.4022,3.2235,30.27,0.4683,36.0
655.0656,11876166.0,25582.0,33676.0,0.281,0.0,0.3349,0.4415,3.2574,30.34,0.4683,36.0
655.0961,11874762.0,25599.0,32199.0,0.281,0.0,0.3586,0.5082,3.3157,30.39,0.4683,36.0
655.0961,11874644.0,25546.0,35365.0,0.281,0.0,0.3606,0.3001,3.137,30.78,0.4683,36.0
655.0961,11879040.0,25551.0,33643.0,0.281,0.0,0.2863,0.3198,3.1535,30.6,0.4683,36.0
655.1264,11874529.0,25587.0,33911.0,0.281,0.0,0.3625,0.4611,3.2744,30.65,0.4683,36.0
655.1264,11872871.0,25563.0,33206.0,0.281,0.0,0.3906,0.3669,3.1933,30.97,0.4683,36.0
655.1264,11873415.0,25520.0,33637.0,0.281,0.0,0.3814,0.198,3.0527,31.38,0.4683,36.0
655.1585,11872407.0,25526.0,32963.0,0.281,0.0,0.3984,0.2216,3.072,31.67,0.4683,36.0
655.1585,11871403.0,25667.0,32708.0,0.281,0.0,0.4154,0.7752,3.5585,31.01,0.4683,36.0
655.1585,11869111.0,25589.0,33271.0,0.281,0.0,0.4542,0.469,3.2813,31.31,0.4683,36.0
655.1902,11870265.0,25562.0,32557.0,0.391,0.0,0.4346,0.3629,3.19,31.58,0.6517,36.0
655.1902,11871528.0,25576.0,33896.0,0.391,0.0,0.4133,0.4179,3.237,31.55,0.6517,36.0
655.1902,11869894.0,25545.0,31353.0,0.391,0.0,0.4409,0.2962,3.1338,31.86,0.6517,36.0
655.2219,11864551.0,25529.0,32763.0,0.391,0.0,0.5314,0.2334,3.0817,8.83,0.6517,36.0
655.2219,11866007.0,25509.0,33452.0,0.391,0.0,0.5067,0.1549,3.0177,7.97,0.6517,36.0
655.2219,11864211.0,25627.0,33527.0,0.391,0.0,0.5372,0.6181,3.4138,32.09,0.6517,36.0
655.2379,11866900.0,25651.0,34628.0,0.391,0.0,0.4916,0.7124,3.4999,31.73,0.6517,36.0
655.2379,11866415.0,25576.0,33281.0,0.391,0.0,0.4998,0.4179,3.237,32.03,0.6517,36.0
655.2379,11867840.0,25657.0,35340.0,0.391,0.0,0.4757,0.7359,3.5218,31.58,0.6517,36.0
655.2738,11863627.0,25618.0,33892.0,0.391,0.0,0.5471,0.5828,3.382,31.89,0.6517,36.0
655.2738,11859057.0,25652.0,33827.0,0.391,0.0,0.6246,0.7163,3.5036,32.17,0.6517,36.0
655.2738,11859238.0,25640.0,32692.0,0.391,0.0,0.6215,0.6692,3.4602,32.4,0.6517,36.0
655.3015,11863002.0,25595.0,32128.0,0.497,0.0,0.5577,0.4925,3.3019,32.56,0.8283,36.0
655.3015,11863797.0,25525.0,33403.0,0.497,0.0,0.5442,0.2177,3.0688,8.38,0.8283,36.0
655.3015,11864897.0,25635.0,33023.0,0.497,0.0,0.5255,0.6496,3.4423,31.84,0.8283,36.0
655.3333,11860539.0,25580.0,33068.0,0.497,0.0,0.5994,0.4336,3.2506,32.48,0.8283,36.0
655.3333,11853388.0,25651.0,34026.0,0.497,0.0,0.7209,0.7124,3.4999,32.88,0.8283,36.0
655.3333,11853956.0,25579.0,32853.0,0.497,0.0,0.7112,0.4297,3.2472,9.75,0.8283,36.0
655.3655,11856854.0,25676.0,34786.0,0.497,0.0,0.662,0.8105,3.5918,32.58,0.8283,36.0
655.3655,11860730.0,25715.0,33422.0,0.497,0.0,0.5962,0.9637,3.7392,32.06,0.8283,36.0
655.3655,11859680.0,25693.0,33841.0,0.497,0.0,0.614,0.8773,3.6554,31.96,0.8283,36.0
655.3972,11857822.0,25468.0,33658.0,0.588,0.0,0.6455,-0.0061,2.8905,5.64,0.98,36.0
655.3997,11853579.0,25659.0,33285.0,0.588,0.0,0.7176,0.7438,3.5291,33.34,0.98,36.0
655.3997,11856440.0,25633.0,32899.0,0.588,0.0,0.669,0.6417,3.4351,33.32,0.98,36.0
655.4291,11859510.0,25567.0,32929.0,0.588,0.0,0.6169,0.3826,3.2067,10.97,0.98,36.0
655.4291,11858594.0,25691.0,33537.0,0.588,0.0,0.6324,0.8694,3.6479,32.05,0.98,36.0
655.4291,11853271.0,25679.0,32985.0,0.588,0.0,0.7228,0.8223,3.6029,32.47,0.98,36.0
655.4612,11852895.0,25607.0,33531.0,0.588,0.0,0.7292,0.5396,3.3434,33.15,0.98,36.0
655.4612,11852593.0,25658.0,34285.0,0.588,0.0,0.7344,0.7399,3.5254,33.29,0.98,36.0
655.4612,11853708.0,25699.0,34095.0,0.588,0.0,0.7154,0.9008,3.6781,33.06,0.98,36.0
655.4932,11851272.0,25678.0,33551.0,0.588,0.0,0.7568,0.8184,3.5992,33.19,0.98,36.0
655.4932,11851869.0,25620.0,34337.0,0.588,0.0,0.7467,0.5907,3.389,33.56,0.98,36.0
655.4932,11854573.0,25558.0,33917.0,0.588,0.0,0.7007,0.3472,3.1767,8.3,0.98,36.0
655.5146,11853484.0,25664.0,33724.0,0.656,0.0,0.7192,0.7634,3.5474,33.28,1.0933,36.0
655.5146,11853889.0,25712.0,35775.0,0.656,0.0,0.7123,0.9519,3.7277,32.96,1.0933,36.0
655.5146,11854991.0,25631.0,33867.0,0.656,0.0,0.6936,0.6339,3.428,33.19,1.0933,36.0
655.5406,11851738.0,25719.0,34500.0,0.656,0.0,0.7489,0.9794,3.7547,33.0,1.0933,36.0
655.5406,11852863.0,25639.0,33521.0,0.656,0.0,0.7298,0.6653,3.4566,33.29,1.0933,36.0
655.5406,11852938.0,25624.0,34093.0,0.656,0.0,0.7285,0.6064,3.4031,33.55,1.0933,36.0
655.5727,11854423.0,25654.0,34400.0,0.656,0.0,0.7033,0.7242,3.5108,33.44,1.0933,36.0
655.5727,11854868.0,25681.0,33886.0,0.656,0.0,0.6957,0.8302,3.6104,33.19,1.0933,36.0
655.5727,11857272.0,25582.0,34203.0,0.656,0.0,0.6549,0.4415,3.2574,33.48,1.0933,36.0
655.6046,11852502.0,25684.0,33140.0,0.656,0.0,0.7359,0.8419,3.6216,33.34,1.0933,36.0
655.6046,11853046.0,25658.0,34732.0,0.656,0.0,0.7267,0.7399,3.5254,33.37,1.0933,36.0
655.6046,11854066.0,25644.0,35392.0,0.656,0.0,0.7093,0.6849,3.4746,33.42,1.0933,36.0
655.6369,11852994.0,25732.0,34320.0,0.706,0.0,0.7275,1.0304,3.8052,32.97,1.1767,36.0
655.6369,11853260.0,25747.0,34133.0,0.706,0.0,0.723,1.0893,3.8642,32.59,1.1767,36.0
655.6369,11853265.0,25718.0,33812.0,0.706,0.0,0.7229,0.9754,3.7508,32.55,1.1767,36.0
655.6689,11852897.0,25628.0,33726.0,0.706,0.0,0.7292,0.6221,3.4173,33.08,1.1767,36.0
655.6689,11852607.0,25640.0,34253.0,0.706,0.0,0.7341,0.6692,3.4602,33.35,1.1767,36.0
655.6689,11851455.0,25683.0,32643.0,0.706,0.0,0.7537,0.838,3.6178,33.32,1.1767,36.0
655.7008,11855655.0,25657.0,33135.0,0.706,0.0,0.6823,0.7359,3.5218,33.22,1.1767,36.0
655.7008,11852366.0,25703.0,31959.0,0.706,0.0,0.7382,0.9165,3.6933,33.07,1.1767,36.0
655.7008,11852452.0,25606.0,35111.0,0.706,0.0,0.7368,0.5357,3.34,33.54,1.1767,36.0
655.7324,11853053.0,25609.0,34128.0,0.741,0.0,0.7265,0.5475,3.3504,33.77,1.235,36.0
655.7324,11854172.0,25639.0,34131.0,0.741,0.0,0.7075,0.6653,3.4566,33.68,1.235,36.0
655.7324,11851958.0,25585.0,32667.0,0.741,0.0,0.7452,0.4532,3.2676,9.59,1.235,36.0
655.7507,11852994.0,25594.0,32921.0,0.741,0.0,0.7275,0.4886,3.2984,11.41,1.235,36.0
655.7507,11850630.0,25735.0,34517.0,0.741,0.0,0.7677,1.0422,3.8169,32.61,1.235,36.0
655.7507,11850078.0,25677.0,33134.0,0.741,0.0,0.7771,0.8145,3.5955,32.99,1.235,36.0
655.7797,11852919.0,25684.0,33508.0,0.741,0.0,0.7288,0.8419,3.6216,33.02,1.235,36.0
655.7797,11855194.0,25705.0,33190.0,0.741,0.0,0.6902,0.9244,3.7009,32.77,1.235,36.0
655.7797,11853987.0,25758.0,32271.0,0.741,0.0,0.7107,1.1325,3.908,32.34,1.235,36.0
655.8119,11854031.0,25701.0,32726.0,0.741,0.0,0.7099,0.9087,3.6857,32.46,1.235,36.0
655.8119,11852994.0,25743.0,33518.0,0.741,0.0,0.7275,1.0736,3.8484,32.32,1.235,36.0
655.8119,11852723.0,25626.0,32770.0,0.741,0.0,0.7322,0.6142,3.4102,32.97,1.235,36.0
655.8438,11853930.0,25711.0,32903.0,0.75,0.0,0.7116,0.948,3.7239,32.78,1.25,36.0
655.8438,11852773.0,25773.0,33376.0,0.75,0.0,0.7313,1.1914,3.9683,32.33,1.25,36.0
655.8438,11852093.0,25724.0,33805.0,0.75,0.0,0.7429,0.999,3.774,32.42,1.25,36.0
655.8761,11851416.0,25663.0,34100.0,0.75,0.0,0.7544,0.7595,3.5437,32.89,1.25,36.0
655.8761,11851352.0,25751.0,32811.0,0.75,0.0,0.7555,1.105,3.8801,32.63,1.25,36.0
655.8761,11852730.0,25604.0,33439.0,0.75,0.0,0.732,0.5278,3.333,33.27,1.25,36.0
655.9079,11853636.0,25653.0,32242.0,0.75,0.0,0.7166,0.7202,3.5072,33.33,1.25,36.0
655.9079,11850481.0,25715.0,34143.0,0.75,0.0,0.7703,0.9637,3.7392,33.18,1.25,36.0
655.9079,11852004.0,25662.0,33786.0,0.75,0.0,0.7444,0.7556,3.5401,33.31,1.25,36.0
655.9435,11853381.0,25689.0,32977.0,0.75,0.0,0.721,0.8616,3.6403,33.16,1.25,36.0
655.9435,11853226.0,25662.0,34862.0,0.75,0.0,0.7236,0.7556,3.5401,33.23,1.25,36.0
655.9435,11852104.0,25705.0,34400.0,0.75,0.0,0.7427,0.9244,3.7009,33.08,1.25,36.0
655.9714,11859155.0,25745.0,33059.0,0.75,0.0,0.6229,1.0814,3.8563,32.26,1.25,36.0
655.9714,11852310.0,25682.0,33371.0,0.75,0.0,0.7392,0.8341,3.6141,32.63,1.25,36.0
655.9714,11851929.0,25661.0,33226.0,0.75,0.0,0.7457,0.7516,3.5364,33.0,1.25,36.0
655.9874,11852789.0,25701.0,34184.0,0.75,0.0,0.731,0.9087,3.6857,32.93,1.25,36.0
655.9874,11849853.0,25677.0,32903.0,0.75,0.0,0.781,0.8145,3.5955,33.19,1.25,36.0
655.9874,11855752.0,25692.0,34075.0,0.75,0.0,0.6807,0.8734,3.6516,32.92,1.25,36.0
656.0192,11853032.0,25616.0,33300.0,0.75,0.0,0.7269,0.575,3.3749,33.36,1.25,36.0
656.0192,11852054.0,25770.0,33202.0,0.75,0.0,0.7435,1.1796,3.9562,32.74,1.25,36.0
656.0192,11853241.0,25656.0,32994.0,0.75,0.0,0.7233,0.732,3.5181,33.02,1.25,36.0
656.051,11851379.0,25669.0,33802.0,0.75,0.0,0.755,0.7831,3.5658,33.21,1.25,36.0
656.051,11855794.0,25687.0,32973.0,0.75,0.0,0.68,0.8537,3.6328,32.96,1.25,36.0
656.051,11851738.0,25624.0,33132.0,0.75,0.0,0.7489,0.6064,3.4031,33.41,1.25,36.0
656.0848,11852301.0,25683.0,32947.0,0.75,0.0,0.7393,0.838,3.6178,33.31,1.25,36.0
656.0848,11852494.0,25614.0,33482.0,0.75,0.0,0.736,0.5671,3.3679,33.64,1.25,36.0
656.0848,11850203.0,25647.0,33538.0,0.75,0.0,0.775,0.6967,3.4854,33.77,1.25,36.0
656.1159,11850695.0,25628.0,32754.0,0.75,0.0,0.7666,0.6221,3.4173,33.93,1.25,36.0
656.1159,11851140.0,25532.0,33635.0,0.75,0.0,0.7591,0.2452,3.0914,6.76,1.25,36.0
656.1159,11852551.0,25695.0,33980.0,0.75,0.0,0.7351,0.8851,3.663,32.95,1.25,36.0
656.1474,11852791.0,25704.0,33117.0,0.75,0.0,0.731,0.9205,3.6971,32.88,1.25,36.0
656.1474,11852036.0,25657.0,33938.0,0.75,0.0,0.7438,0.7359,3.5218,33.16,1.25,36.0
656.1474,11854045.0,25572.0,32998.0,0.75,0.0,0.7097,0.4022,3.2235,9.11,1.25,36.0
656.1793,11854363.0,25634.0,32751.0,0.75,0.0,0.7043,0.6456,3.4387,33.59,1.25,36.0
656.1793,11852353.0,25665.0,31761.0,0.75,0.0,0.7384,0.7673,3.5511,33.53,1.25,36.0
656.1793,11852572.0,25651.0,32247.0,0.75,0.0,0.7347,0.7124,3.4999,33.56,1.25,36.0
656.2116,11853241.0,25733.0,33507.0,0.75,0.0,0.7233,1.0343,3.8091,33.03,1.25,36.0
656.2116,11851995.0,25771.0,34340.0,0.75,0.0,0.7445,1.1835,3.9602,32.54,1.25,36.0
