t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,16.0,16.0,0.0,0.0,0.0,11161995,28664,34296,0
0.0,16.0,16.0,0.0,0.0,0.0,11160336,28762,29694,0
0.0,16.0,16.0,0.0,0.0,0.0,11160175,28766,32788,0
0.03196,16.0,16.0,0.0,0.0,0.0,11158810,28686,26411,0
0.03196,16.0,16.0,0.0,0.0,0.0,11160549,28756,31822,0
0.03196,16.0,16.0,0.0,0.0,0.0,11159394,28683,28988,0
0.06406,16.0,16.0,0.0,0.0,0.0,11161844,28669,32414,0
0.06406,16.0,16.0,0.0,0.0,0.0,11160523,28712,34861,0
0.06406,16.0,16.0,0.0,0.0,0.0,11159098,28658,27733,0
0.09609,16.0,16.0,0.0,0.0,0.0,11159900,28823,34741,0
0.09609,16.0,16.0,0.0,0.0,0.0,11159993,28753,31787,0
0.09609,16.0,16.0,0.0,0.0,0.0,11162342,28676,32184,0
0.12815,16.0,16.0,0.0,0.0,0.0,11158159,28682,34411,0
0.12815,16.0,16.0,0.0,0.0,0.0,11159676,28718,32641,0
0.12815,16.0,16.0,0.0,0.0,0.0,11159721,28616,33469,0
0.16003,16.0,16.0,0.0,0.0,0.0,11158665,28677,32771,0
0.16003,16.0,16.0,0.0,0.0,0.0,11159963,28802,32653,0
0.16003,16.0,16.0,0.0,0.0,0.0,11164759,28672,30335,0
0.19201,16.0,16.0,0.0,0.0,-0.0312,11159627,28698,36747,0
0.19201,16.0,16.0,0.0,0.0,-0.0312,11159656,28703,34861,0
0.19201,16.0,16.0,0.0,0.0,-0.0312,11161708,28818,37409,0
0.20996,16.0,16.0,0.0,0.0,-0.0312,11161264,28695,30653,0
0.20996,16.0,16.0,0.0,0.0,-0.0312,11162923,28758,34608,0
0.20996,16.0,16.0,0.0,0.0,-0.0312,11160492,28637,34000,0
0.24019,16.0,16.0,0.0,0.0,-0.0312,11159563,28667,30788,0
0.24019,16.0,16.0,0.0,0.0,-0.0312,11159530,28791,28736,0
0.24019,16.0,16.0,0.0,0.0,-0.0312,11159402,28693,32394,0
0.27197,16.0,16.0,0.0,0.0,-0.0312,11159098,28735,31008,0
0.27197,16.0,16.0,0.0,0.0,-0.0312,11164288,28777,32237,0
0.27197,16.0,16.0,0.0,0.0,-0.0312,11159198,28667,35073,0
0.30389,16.0,16.0,0.0,0.0,-0.0312,11159900,28648,33384,0
0.30389,16.0,16.0,0.0,0.0,-0.0312,11159920,28720,27727,0
0.30389,16.0,16.0,0.0,0.0,-0.0312,11158294,28682,38227,0
0.33522,16.0,16.0,0.0,0.0,-0.0312,11164408,28713,36121,0
0.33522,16.0,16.0,0.0,0.0,-0.0312,11159527,28593,34129,0
0.33522,16.0,16.0,0.0,0.0,-0.0312,11158725,28737,27934,0
0.36864,16.0,16.0,0.0,0.0,-0.0312,11159430,28715,28827,0
0.36864,16.0,16.0,0.0,0.0,-0.0312,11162233,28677,34562,0
0.36864,16.0,16.0,0.0,0.0,-0.0312,11158820,28710,27884,0
0.39992,16.0,16.0,0.0,0.0,-0.1313,11161084,28644,34346,0
0.39992,16.0,16.0,0.0,0.0,-0.1313,11160487,28655,35766,0
0.39992,16.0,16.0,0.0,0.0,-0.1313,11161604,28702,36602,0
0.43147,16.0,16.0,0.0,0.0,-0.1313,11160962,28692,33562,0
0.43147,16.0,16.0,0.0,0.0,-0.1313,11161441,28743,32666,0
0.43147,16.0,16.0,0.0,0.0,-0.1313,11161084,28651,34024,0
0.44732,16.0,16.0,0.0,0.0,-0.1313,11162339,28662,32407,0
0.44941,16.0,16.0,0.0,0.0,-0.1313,11161120,28558,33652,0
0.44941,16.0,16.0,0.0,0.0,-0.1313,11159115,28767,33553,0
0.47886,16.0,16.0,0.0,0.0,-0.1313,11160757,28706,34454,0
0.47886,16.0,16.0,0.0,0.0,-0.1313,11162663,28653,32572,0
0.47886,16.0,16.0,0.0,0.0,-0.1313,11160370,28726,34826,0
0.51212,16.0,16.0,0.0,0.0,-0.1313,11160549,28731,34477,0
0.51212,16.0,16.0,0.0,0.0,-0.1313,11160738,28688,33294,0
0.51212,16.0,16.0,0.0,0.0,-0.1313,11159540,28655,34916,0
0.54204,16.0,16.0,0.0,0.0,-0.1313,11159382,28712,31777,0
0.54204,16.0,16.0,0.0,0.0,-0.1313,11160591,28827,36689,0
0.54204,16.0,16.0,0.0,0.0,-0.1313,11159981,28686,34726,0
0.57392,16.0,16.0,0.0,0.0,-0.2969,11160076,28742,34663,0
0.57392,16.0,16.0,0.0,0.0,-0.2969,11161702,28787,31600,0
0.57392,16.0,16.0,0.0,0.0,-0.2969,11160757,28614,31417,0
0.60755,16.0,16.0,0.0,0.0,-0.2969,11159341,28747,32765,0
0.60755,16.0,16.0,0.0,0.0,-0.2969,11159714,28738,36914,0
0.60755,16.0,16.0,0.0,0.0,-0.2969,11159725,28734,36898,0
0.64552,16.0,16.0,0.0,0.0,-0.2969,11163497,28596,32507,0
0.64552,16.0,16.0,0.0,0.0,-0.2969,11161662,28576,36283,0
0.64701,16.0,16.0,0.0,0.0,-0.2969,11165154,28628,27144,0
0.66407,16.0,16.0,0.0,0.0,-0.2969,11159270,28736,29897,0
0.66407,16.0,16.0,0.0,0.0,-0.2969,11159118,28702,32292,0
0.66407,16.0,16.0,0.0,0.0,-0.2969,11161107,28787,31791,0
0.69138,16.0,16.0,0.0,0.0,-0.2969,11161735,28713,33784,0
0.69138,16.0,16.0,0.0,0.0,-0.2969,11164408,28731,35672,0
0.69138,16.0,16.0,0.0,0.0,-0.2969,11158877,28769,31023,0
0.7247,16.0,16.0,0.0,0.0,-0.2969,11159448,28788,33604,0
0.7247,16.0,16.0,0.0,0.0,-0.2969,11160390,28732,32907,0
0.7247,16.0,16.0,0.0,0.0,-0.2969,11157816,28771,31491,0
0.76063,16.0,16.0,0.0,0.0,-0.2969,11159294,28689,35230,0
0.76063,16.0,16.0,0.0,0.0,-0.2969,11158717,28697,40261,0
0.76063,16.0,16.0,0.0,0.0,-0.2969,11159448,28661,36649,0
0.79113,16.0,16.0,0.0,0.0,-0.5219,11161149,28668,32625,0
0.79113,16.0,16.0,0.0,0.0,-0.5219,11157915,28663,31038,0
0.79113,16.0,16.0,0.0,0.0,-0.5219,11161018,28774,32726,0
0.82351,16.0,16.0,0.0,0.0,-0.5219,11164288,28668,33089,0
0.82351,16.0,16.0,0.0,0.0,-0.5219,11159888,28745,30991,0
0.82351,16.0,16.0,0.0,0.0,-0.5219,11159989,28680,36269,0
0.83943,16.0,16.0,0.0,0.0,-0.5219,11161164,28727,36967,0
0.83943,16.0,16.0,0.0,0.0,-0.5219,11160244,28705,33309,0
0.83943,16.0,16.0,0.0,0.0,-0.5219,11160962,28631,36215,0
0.87147,16.0,16.0,0.0,0.0,-0.5219,11159627,28721,34568,0
0.87147,16.0,16.0,0.0,0.0,-0.5219,11159573,28697,32907,0
0.87147,16.0,16.0,0.0,0.0,-0.5219,11160496,28766,30221,0
0.90423,16.0,16.0,0.0,0.0,-0.5219,11160809,28694,30840,0
0.90423,16.0,16.0,0.0,0.0,-0.5219,11161702,28776,27951,0
0.90423,16.0,16.0,0.0,0.0,-0.5219,11160523,28699,33259,0
0.93585,16.0,16.0,0.0,0.0,-0.5219,11160524,28673,33329,0
0.93585,16.0,16.0,0.0,0.0,-0.5219,11159801,28804,30636,0
0.93585,16.0,16.0,0.0,0.0,-0.5219,11161097,28675,35676,0
0.96737,16.0,16.0,0.0,0.0,-0.5219,11159738,28705,33729,0
0.96737,16.0,16.0,0.0,0.0,-0.5219,11160492,28690,34112,0
0.96737,16.0,16.0,0.0,0.0,-0.5219,11161390,28679,33885,0
0.99902,16.0,16.0,0.0,0.0,-0.8094,11160158,28751,31818,0
0.99902,16.0,16.0,0.0,0.0,-0.8094,11161323,28729,32298,0
0.99902,16.0,16.0,0.0,0.0,-0.8094,11162215,28758,32373,0
1.0306,16.0,16.0,0.0,0.0,-0.8094,11274064,28690,34238,0
1.0306,16.0,16.0,0.0,0.0,-0.8094,11160833,28651,35326,0
1.0306,16.0,16.0,0.0,0.0,-0.8094,11159549,28671,30397,0
1.06207,16.0,16.0,0.0,0.0,-0.8094,11159448,28703,37663,0
1.06207,16.0,16.0,0.0,0.0,-0.8094,11162511,28701,36589,0
1.06207,16.0,16.0,0.0,0.0,-0.8094,11162044,28611,31583,0
1.09549,16.0,16.0,0.0,0.0,-0.8094,11161054,28767,34870,0
1.09549,16.0,16.0,0.0,0.0,-0.8094,11160644,28653,32675,0
1.09549,16.0,16.0,0.0,0.0,-0.8094,11159934,28717,32360,0
1.11019,16.0,16.0,0.0,0.0,-0.8094,11161351,28732,29733,0
1.11019,16.0,16.0,0.0,0.0,-0.8094,11162663,28705,36890,0
1.11019,16.0,16.0,0.0,0.0,-0.8094,11160523,28695,34832,0
1.14243,16.0,16.0,0.0,0.0,-0.8094,11160300,28726,32609,0
1.14243,16.0,16.0,0.0,0.0,-0.8094,11162123,28739,39858,0
1.14243,16.0,16.0,0.0,0.0,-0.8094,11159448,28682,34365,0
1.17511,16.0,16.0,0.0,0.0,-0.8094,11163039,28652,36981,0
1.17635,16.0,16.0,0.0,0.0,-0.8094,11163425,28681,36290,0
1.17635,16.0,16.0,0.0,0.0,-0.8094,11161175,28618,29062,0
1.21151,16.0,16.0,0.0,0.0,-1.1656,11160716,28655,31247,0
1.21151,16.0,16.0,0.0,0.0,-1.1656,11159939,28759,31796,0
1.21151,16.0,16.0,0.0,0.0,-1.1656,11161640,28661,32580,0
1.24334,16.0,16.0,0.0,0.0,-1.1656,11160151,28798,38207,0
1.24334,16.0,16.0,0.0,0.0,-1.1656,11160716,28776,36976,0
1.24334,16.0,16.0,0.0,0.0,-1.1656,11160140,28740,33348,0
1.25957,16.0,16.0,0.0,0.0,-1.1656,11161164,28757,26217,0
1.25957,16.0,16.0,0.0,0.0,-1.1656,11158900,28699,34953,0
1.25957,16.0,16.0,0.0,0.0,-1.1656,11160894,28716,33077,0
1.29176,16.0,16.0,0.0,0.0,-1.1656,11160523,28788,35176,0
1.29176,16.0,16.0,0.0,0.0,-1.1656,11161070,28699,34521,0
1.29176,16.0,16.0,0.0,0.0,-1.1656,11160478,28742,33709,0
1.32381,16.0,16.0,0.0,0.0,-1.1656,11159540,28741,39752,0
1.32381,16.0,16.0,0.0,0.0,-1.1656,11159333,28764,37771,0
1.32381,16.0,16.0,0.0,0.0,-1.1656,11164873,28660,37730,0
1.36161,16.0,16.0,0.0,0.0,-1.1656,11161820,28783,31958,0
1.36161,16.0,16.0,0.0,0.0,-1.1656,11161474,28749,28724,0
1.36161,16.0,16.0,0.0,0.0,-1.1656,11162068,28756,32307,0
1.37895,16.0,16.0,0.0,0.0,-1.1656,11161557,28722,32161,0
1.37895,16.0,16.0,0.0,0.0,-1.1656,11272095,28676,31054,0
1.37895,16.0,16.0,0.0,0.0,-1.1656,11160725,28763,35531,0
1.40899,16.0,16.0,0.0,0.0,-1.575,11159490,28651,31132,0
1.40899,16.0,16.0,0.0,0.0,-1.575,11160496,28587,39875,0
1.40899,16.0,16.0,0.0,0.0,-1.575,11162233,28688,35882,0
1.44417,16.0,16.0,0.0,0.0,-1.575,11161557,28617,35001,0
1.44417,16.0,16.0,0.0,0.0,-1.575,11162888,28608,32987,0
1.44417,16.0,16.0,0.0,0.0,-1.575,11158940,28732,31247,0
1.4778,16.0,16.0,0.0,0.0,-1.575,11160532,28704,35325,0
1.4778,16.0,16.0,0.0,0.0,-1.575,11158243,28803,31148,0
1.4778,16.0,16.0,0.0,0.0,-1.575,11164085,28756,33758,0
1.50792,16.0,16.0,0.0,0.0,-1.575,11161084,28728,35043,0
1.50792,16.0,16.0,0.0,0.0,-1.575,11159948,28610,31092,0
1.50792,16.0,16.0,0.0,0.0,-1.575,11161686,28726,33786,0
1.54555,16.0,16.0,0.0,0.0,-1.575,11160089,28616,34240,0
1.54555,16.0,16.0,0.0,0.0,-1.575,11160336,28780,34509,0
1.54555,16.0,16.0,0.0,0.0,-1.575,11161084,28661,34434,0
1.5615,16.0,16.0,0.0,0.0,-1.575,11159049,28707,35134,0
1.5615,16.0,16.0,0.0,0.0,-1.575,11161989,28742,35495,0
1.5615,16.0,16.0,0.0,0.0,-1.575,11160613,28742,29329,0
1.59553,16.0,16.0,0.0,0.0,-1.575,11161003,28729,36368,0
1.59553,16.0,16.0,0.0,0.0,-1.575,11162202,28753,32637,0
1.59553,16.0,16.0,0.0,0.0,-1.575,11160523,28702,36226,0
1.62615,16.0,16.0,0.0,0.0,-2.0719,11159913,28720,33410,0
1.62615,16.0,16.0,0.0,0.0,-2.0719,11160889,28730,34187,0
1.62615,16.0,16.0,0.0,0.0,-2.0719,11162728,28757,29790,0
1.65836,16.0,16.0,0.0,0.0,-2.0719,11162545,28603,32894,0
1.65836,16.0,16.0,0.0,0.0,-2.0719,11158717,28707,32160,0
1.65836,16.0,16.0,0.0,0.0,-2.0719,11159473,28644,30993,0
1.69479,16.0,16.0,0.0,0.0,-2.0719,11159369,28699,34479,0
1.69479,16.0,16.0,0.0,0.0,-2.0719,11158174,28643,33589,0
1.69479,16.0,16.0,0.0,0.0,-2.0719,11160962,28645,31212,0
1.71189,16.0,16.0,0.0,0.0,-2.0719,11168191,28674,32664,0
1.71189,16.0,16.0,0.0,0.0,-2.0719,11160404,28718,34552,0
1.71189,16.0,16.0,0.0,0.0,-2.0719,11161356,28802,29671,0
1.74257,16.0,16.0,0.0,0.0,-2.0719,11159706,28700,30243,0
1.74257,16.0,16.0,0.0,0.0,-2.0719,11159631,28644,32189,0
1.74257,16.0,16.0,0.0,0.0,-2.0719,11159579,28574,34432,0
1.77467,16.0,16.0,0.0,0.0,-2.0719,11161195,28735,40082,0
1.77467,16.0,16.0,0.0,0.0,-2.0719,11161520,28674,39376,0
1.77467,16.0,16.0,0.0,0.0,-2.0719,11161114,28649,30537,0
1.8062,16.0,16.0,0.0,0.0,-2.0719,11161773,28672,34299,0
1.8062,16.0,16.0,0.0,0.0,-2.0719,11160894,28632,32477,0
1.8062,16.0,16.0,0.0,0.0,-2.0719,11160492,28657,34975,0
1.83996,16.0,16.0,0.0,0.0,-2.6219,11160409,28745,32209,0
1.83996,16.0,16.0,0.0,0.0,-2.6219,11159773,28645,31124,0
1.83996,16.0,16.0,0.0,0.0,-2.6219,11160930,28674,38325,0
1.86837,16.0,16.0,0.0,0.0,-2.6219,11161557,28754,34038,0
1.86988,16.0,16.0,0.0,0.0,-2.6219,11165154,28650,35571,0
1.86988,16.0,16.0,0.0,0.0,-2.6219,11160577,28662,35138,0
1.89992,16.0,16.0,0.0,0.0,-2.6219,11161557,28697,33162,0
1.89992,16.0,16.0,0.0,0.0,-2.6219,11161107,28735,38115,0
1.89992,16.0,16.0,0.0,0.0,-2.6219,11159963,28698,34810,0
1.9211,16.0,16.0,0.0,0.0,-2.6219,11159900,28664,33361,0
1.9211,16.0,16.0,0.0,0.0,-2.6219,11161311,28716,36486,0
1.9211,16.0,16.0,0.0,0.0,-2.6219,11161635,28687,38888,0
1.95221,16.0,16.0,0.0,0.0,-2.6219,11160175,28629,31161,0
1.95221,16.0,16.0,0.0,0.0,-2.6219,11161863,28673,34441,0
1.95221,16.0,16.0,0.0,0.0,-2.6219,11160962,28779,31523,0
1.9853,16.0,16.0,0.0,0.0,-2.6219,11159341,28799,31405,0
1.9853,16.0,16.0,0.0,0.0,-2.6219,11160336,28676,34331,0
1.9853,16.0,16.0,0.0,0.0,-2.6219,11159651,28781,34190,0
2.01621,16.0,16.0,0.0,0.0,-2.6219,11159569,28801,35667,0
2.01621,16.0,16.0,0.0,0.0,-2.6219,11159364,28792,35056,0
2.01621,16.0,16.0,0.0,0.0,-2.6219,11160492,28664,33599,0
2.04806,16.0,16.0,0.0,0.0,-3.2344,11160653,28638,36986,0
2.04806,16.0,16.0,0.0,0.0,-3.2344,11159216,28686,30858,0
2.04806,16.0,16.0,0.0,0.0,-3.2344,11161264,28781,31104,0
2.08164,16.0,16.0,0.0,0.0,-3.2344,11160237,28704,35117,0
2.08164,16.0,16.0,0.0,0.0,-3.2344,11161084,28687,33445,0
2.08164,16.0,16.0,0.0,0.0,-3.2344,11160898,28746,37208,0
2.11154,16.0,16.0,0.0,0.0,-3.2344,11160460,28613,30452,0
2.11355,16.0,16.0,0.0,0.0,-3.2344,11159733,28672,34641,0
2.11355,16.0,16.0,0.0,0.0,-3.2344,11159845,28664,35432,0
2.14321,16.0,16.0,0.0,0.0,-3.2344,11163248,28757,37922,0
2.14321,16.0,16.0,0.0,0.0,-3.2344,11159932,28758,35145,0
2.14321,16.0,16.0,0.0,0.0,-3.2344,11161702,28659,29883,0
2.16009,16.0,16.0,0.0,0.0,-3.2344,11159499,28716,37173,0
2.16009,16.0,16.0,0.0,0.0,-3.2344,11160826,28748,28778,0
2.16009,16.0,16.0,0.0,0.0,-3.2344,11159364,28704,37431,0
2.18997,16.0,16.0,0.0,0.0,-3.2344,11158125,28768,32462,0
2.19114,16.0,16.0,0.0,0.0,-3.2344,11160688,28666,30881,0
2.19114,16.0,16.0,0.0,0.0,-3.2344,11160158,28753,31578,0
2.22181,16.0,16.0,0.0,0.0,-3.2344,11161557,28743,39033,0
2.22181,16.0,16.0,0.0,0.0,-3.2344,11159082,28804,35370,0
2.22181,16.0,16.0,0.0,0.0,-3.2344,11162871,28688,36869,0
2.25351,16.0,16.0,0.0,0.0,-3.8969,11160565,28732,37719,0
2.25621,16.0,16.0,0.0,0.0,-3.8969,11162294,28697,32804,0
2.25621,16.0,16.0,0.0,0.0,-3.8969,11159094,28715,31440,0
2.28531,16.0,16.0,0.0,0.0,-3.8969,11160575,28720,30248,0
2.28531,16.0,16.0,0.0,0.0,-3.8969,11161702,28748,32997,0
2.28531,16.0,16.0,0.0,0.0,-3.8969,11159900,28728,32683,0
2.32022,16.0,16.0,0.0,0.0,-3.8969,11160745,28684,35039,0
2.32022,16.0,16.0,0.0,0.0,-3.8969,11161056,28627,32385,0
2.32022,16.0,16.0,0.0,0.0,-3.8969,11159051,28643,34888,0
2.34896,16.0,16.0,0.0,0.0,-3.8969,11161018,28720,34579,0
2.34896,16.0,16.0,0.0,0.0,-3.8969,11164288,28708,36268,0
2.34896,16.0,16.0,0.0,0.0,-3.8969,11160577,28700,37216,0
2.38528,16.0,16.0,0.0,0.0,-3.8969,11159254,28735,36549,0
2.38528,16.0,16.0,0.0,0.0,-3.8969,11160395,28737,33035,0
2.38528,16.0,16.0,0.0,0.0,-3.8969,11160962,28710,31185,0
2.40133,16.0,16.0,0.0,0.0,-3.8969,11162486,28741,34033,0
2.40133,16.0,16.0,0.0,0.0,-3.8969,11159954,28709,35333,0
2.40133,16.0,16.0,0.0,0.0,-3.8969,11160100,28670,36564,0
2.43472,16.0,16.0,0.0,0.0,-3.8969,11158383,28686,33368,0
2.43472,16.0,16.0,0.0,0.0,-3.8969,11157880,28735,32367,0
2.43472,16.0,16.0,0.0,0.0,-3.8969,11161812,28669,33946,0
2.46436,16.0,16.0,0.0,0.0,-4.625,11160492,28612,30286,0
2.46436,16.0,16.0,0.0,0.0,-4.625,11160734,28766,34144,0
2.46436,16.0,16.0,0.0,0.0,-4.625,11158444,28739,32302,0
2.49551,16.0,16.0,0.0,0.0,-4.625,11159250,28711,33489,0
2.49551,16.0,16.0,0.0,0.0,-4.625,11158980,28777,32268,0
2.49551,16.0,16.0,0.0,0.0,-4.625,11163425,28700,33422,0
2.52751,16.0,16.0,0.0,0.0,-4.625,11161207,28659,34987,0
2.52751,16.0,16.0,0.0,0.0,-4.625,11159201,28727,34692,0
2.52751,16.0,16.0,0.0,0.0,-4.625,11160167,28706,33540,0
2.55904,16.0,16.0,0.0,0.0,-4.625,11162123,28708,35350,0
2.55904,16.0,16.0,0.0,0.0,-4.625,11161557,28654,35861,0
2.55904,16.0,16.0,0.0,0.0,-4.625,11158650,28722,31000,0
2.59393,16.0,16.0,0.0,0.0,-4.625,11159142,28759,30764,0
2.59393,16.0,16.0,0.0,0.0,-4.625,11159985,28743,35813,0
2.59393,16.0,16.0,0.0,0.0,-4.625,11160265,28831,33038,0
2.62171,16.0,16.0,0.0,0.0,-4.625,11160840,28761,36068,0
2.62171,16.0,16.0,0.0,0.0,-4.625,11159932,28677,32826,0
2.62171,16.0,16.0,0.0,0.0,-4.625,11161187,28785,37697,0
2.64153,16.0,16.0,0.0,0.0,-4.625,11159027,28670,36644,0
2.64153,16.0,16.0,0.0,0.0,-4.625,11161023,28795,28538,0
2.64153,16.0,16.0,0.0,0.0,-4.625,11161749,28682,29764,0
2.66992,16.0,16.0,0.0,0.0,-5.3969,11164585,28684,31641,0
2.67158,16.0,16.0,0.0,0.0,-5.3969,11160036,28787,32887,0
2.67158,16.0,16.0,0.0,0.0,-5.3969,11160840,28603,31392,0
2.70198,16.0,16.0,0.0,0.0,-5.3969,11161182,28761,34448,0
2.70198,16.0,16.0,0.0,0.0,-5.3969,11163444,28748,35054,0
2.70198,16.0,16.0,0.0,0.0,-5.3969,11160698,28783,30437,0
2.73387,16.0,16.0,0.0,0.0,-5.3969,11160809,28665,37439,0
2.73387,16.0,16.0,0.0,0.0,-5.3969,11160962,28667,33191,0
2.73387,16.0,16.0,0.0,0.0,-5.3969,11160336,28703,38910,0
2.76814,16.0,16.0,0.0,0.0,-5.3969,11162054,28707,35741,0
2.77,16.0,16.0,0.0,0.0,-5.3969,11158836,28784,30332,0
2.77,16.0,16.0,0.0,0.0,-5.3969,11159900,28625,36148,0
2.79991,16.0,16.0,0.0,0.0,-5.3969,11159863,28698,39243,0
2.79991,16.0,16.0,0.0,0.0,-5.3969,11159916,28773,35269,0
2.79991,16.0,16.0,0.0,0.0,-5.3969,11159944,28726,36771,0
2.83167,16.0,16.0,0.0,0.0,-5.3969,11160120,28668,35255,0
2.83167,16.0,16.0,0.0,0.0,-5.3969,11166683,28718,33666,0
2.83167,16.0,16.0,0.0,0.0,-5.3969,11160846,28777,30024,0
2.86658,16.0,16.0,0.0,0.0,-5.3969,11160336,28762,34616,0
2.86658,16.0,16.0,0.0,0.0,-5.3969,11160510,28772,33173,0
