t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,2.0,2.0,0.0,0.0,0.0,11737672,25871,33944,0
0.0,2.0,2.0,0.0,0.0,0.0,11736049,26071,35938,0
0.0,2.0,2.0,0.0,0.0,0.0,11735938,25986,34468,0
0.02739,2.0,2.0,0.0,0.0,0.0,11736398,26002,33760,0
0.02739,2.0,2.0,0.0,0.0,0.0,11734329,25934,38169,0
0.02739,2.0,2.0,0.0,0.0,0.0,11739343,25990,35807,0
0.05945,2.0,2.0,0.0,0.0,0.0,11735427,25955,34543,0
0.05945,2.0,2.0,0.0,0.0,0.0,11736547,26020,30942,0
0.05945,2.0,2.0,0.0,0.0,0.0,11736207,25989,36982,0
0.09335,2.0,2.0,0.0,0.0,-0.0094,11735748,25949,33948,0
0.09335,2.0,2.0,0.0,0.0,-0.0094,11736403,26075,37246,0
0.09335,2.0,2.0,0.0,0.0,-0.0094,11736671,25939,32375,0
0.1114,2.0,2.0,0.0,0.0,-0.0094,11735062,26037,33237,0
0.1114,2.0,2.0,0.0,0.0,-0.0094,11737071,25953,32524,0
0.1114,2.0,2.0,0.0,0.0,-0.0094,11736660,26044,33146,0
0.14322,2.0,2.0,0.0,0.0,-0.0094,11735695,26037,32395,0
0.14322,2.0,2.0,0.0,0.0,-0.0094,11737382,25956,30585,0
0.14322,2.0,2.0,0.0,0.0,-0.0094,11736087,25967,38520,0
0.17721,2.0,2.0,0.0,0.0,-0.0094,11736416,25929,34661,0
0.17721,2.0,2.0,0.0,0.0,-0.0094,11735634,25996,37271,0
0.17721,2.0,2.0,0.0,0.0,-0.0094,11736084,26011,31821,0
0.21144,2.0,2.0,0.0,0.0,-0.0094,11737259,26022,35254,0
0.21144,2.0,2.0,0.0,0.0,-0.0094,11735378,25957,31833,0
0.21144,2.0,2.0,0.0,0.0,-0.0094,11736230,26117,36512,0
0.24195,2.0,2.0,0.0,0.0,-0.0094,11736700,25994,30582,0
0.24195,2.0,2.0,0.0,0.0,-0.0094,11735738,26067,31612,0
0.24195,2.0,2.0,0.0,0.0,-0.0094,11739888,25996,34809,0
0.27257,2.0,2.0,0.0,0.0,-0.0094,11735831,25996,29469,0
0.27257,2.0,2.0,0.0,0.0,-0.0094,11734392,25993,36413,0
0.27257,2.0,2.0,0.0,0.0,-0.0094,11735143,26026,33619,0
0.28857,2.0,2.0,0.0,0.0,-0.0094,11735267,25964,34618,0
0.28857,2.0,2.0,0.0,0.0,-0.0094,11738570,25979,32177,0
0.28857,2.0,2.0,0.0,0.0,-0.0094,11734806,25948,32857,0
0.32005,2.0,2.0,0.0,0.0,-0.0875,11735164,26029,34842,0
0.32005,2.0,2.0,0.0,0.0,-0.0875,11735127,26077,37575,0
0.32005,2.0,2.0,0.0,0.0,-0.0875,11735058,26081,37166,0
0.35163,2.0,2.0,0.0,0.0,-0.0875,11735193,26009,33349,0
0.35163,2.0,2.0,0.0,0.0,-0.0875,11734184,26015,32470,0
0.35163,2.0,2.0,0.0,0.0,-0.0875,11735506,26026,29810,0
