t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,0.0,0.0,0.0,0.0,-38.0,12057808,25286,34025,1
0.0,0.0,0.0,0.0,0.0,-38.0,12058660,25235,37404,1
0.0,0.0,0.0,0.0,0.0,-38.0,12058672,25322,34467,1
0.03023,0.0031,0.0031,0.0,0.0,-38.0,12057472,25308,39541,1
0.03191,0.0031,0.0031,0.0,0.0,-38.0,12059617,25226,35228,1
0.03191,0.0031,0.0031,0.0,0.0,-38.0,12058124,25302,35184,1
0.06069,0.0031,0.0031,0.0,0.0,-38.0,12059669,25242,36595,1
0.06069,0.0031,0.0031,0.0,0.0,-38.0,12057967,25226,34303,1
0.06069,0.0031,0.0031,0.0,0.0,-38.0,12057687,25208,32716,1
0.09299,0.0031,0.0031,0.0,0.0,-38.0,12057647,25242,32109,1
0.09299,0.0031,0.0031,0.0,0.0,-38.0,12058763,25322,35587,1
0.09299,0.0031,0.0031,0.0,0.0,-38.0,12057270,25303,32752,1
0.13044,0.0031,0.0031,0.0,0.0,-38.0,12058063,25360,40065,1
0.13188,0.0031,0.0031,0.0,0.0,-38.0,12056584,25208,31681,1
0.13188,0.0031,0.0031,0.0,0.0,-38.0,12060470,25260,33565,1
0.14612,0.0031,0.0031,0.0,0.0,-38.0,12063248,25283,30073,1
0.14612,0.0031,0.0031,0.0,0.0,-38.0,12056027,25289,32437,1
0.14612,0.0031,0.0031,0.0,0.0,-38.0,12055598,25276,35148,1
0.17772,0.0031,0.0031,0.0,0.0,-38.0,12056013,25294,35826,1
0.17772,0.0031,0.0031,0.0,0.0,-38.0,12055941,25318,36556,1
0.17772,0.0031,0.0031,0.0,0.0,-38.0,12056649,25239,29135,1
0.20116,0.0031,0.0031,0.0,0.0,-38.0,12055869,25295,34815,1
0.20116,0.0031,0.0031,0.0,0.0,-38.0,12057011,25309,32781,1
0.20116,0.0031,0.0031,0.0,0.0,-38.0,12059611,25263,36330,1
0.23333,0.0531,0.0531,0.0,0.0,-38.0,12055584,25293,36194,1
0.23488,0.0531,0.0531,0.0,0.0,-38.0,12057808,25240,31575,1
0.23488,0.0531,0.0531,0.0,0.0,-38.0,12055570,25349,31123,1
0.26551,0.0531,0.0531,0.0,0.0,-38.0,12055091,25289,36588,1
0.26551,0.0531,0.0531,0.0,0.0,-38.0,12055737,25327,32904,1
0.26551,0.0531,0.0531,0.0,0.0,-38.0,12055925,25275,35779,1
0.30337,0.0531,0.0531,0.0,0.0,-38.0,12053593,25315,33518,1
0.30337,0.0531,0.0531,0.0,0.0,-38.0,12055065,25302,35166,1
0.30337,0.0531,0.0531,0.0,0.0,-38.0,12055578,25255,38466,1
0.33057,0.0531,0.0531,0.0,0.0,-38.0,12056258,25294,32524,1
0.33057,0.0531,0.0531,0.0,0.0,-38.0,12054753,25249,30488,1
