t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,0.0,0.0,0.0,0.0,-50.0,12985862,25276,30413,1
0.0,0.0,0.0,0.0,0.0,-50.0,12978953,25290,35579,1
0.0,0.0,0.0,0.0,0.0,-50.0,12984294,25268,33710,1
0.02861,0.0,0.0,0.0,0.0,-50.0,12984726,25255,30146,1
0.02861,0.0,0.0,0.0,0.0,-50.0,12983613,25221,34155,1
0.02861,0.0,0.0,0.0,0.0,-50.0,12986511,25215,34436,1
0.0536,0.0,0.0,0.0,0.0,-50.0,12986779,25270,35843,1
0.05519,0.0,0.0,0.0,0.0,-50.0,12980674,25256,29776,1
0.05519,0.0,0.0,0.0,0.0,-50.0,12983577,25310,33003,1
0.08618,0.0,0.0,0.0,0.0,-50.0,12982256,25295,36015,1
0.08618,0.0,0.0,0.0,0.0,-50.0,12980877,25244,34689,1
0.08618,0.0094,0.0094,0.0,0.0,-50.0,12982760,25273,34251,1
0.12584,0.0094,0.0094,0.0,0.0,-50.0,12982391,25321,33008,1
0.12584,0.0094,0.0094,0.0,0.0,-50.0,12983221,25252,35813,1
0.12584,0.0094,0.0094,0.0,0.0,-50.0,12984094,25262,35104,1
0.13938,0.0094,0.0094,0.0,0.0,-50.0,12983153,25276,37745,1
0.13938,0.0094,0.0094,0.0,0.0,-50.0,12985247,25272,33021,1
0.13938,0.0094,0.0094,0.0,0.0,-50.0,12985142,25352,34605,1
0.17064,0.0094,0.0094,0.0,0.0,-50.0,12982585,25301,33591,1
0.17064,0.0094,0.0094,0.0,0.0,-50.0,12986174,25243,30897,1
0.17064,0.0094,0.0094,0.0,0.0,-50.0,12986110,25271,37225,1
0.20483,0.0094,0.0094,0.0,0.0,-50.0,12988812,25332,30606,1
0.20483,0.0094,0.0094,0.0,0.0,-50.0,12988812,25236,32272,1
0.20483,0.0094,0.0094,0.0,0.0,-50.0,12986646,25275,33910,1
0.23487,0.0094,0.0094,0.0,0.0,-50.0,12984318,25287,28961,1
0.23487,0.0094,0.0094,0.0,0.0,-50.0,12985242,25290,35005,1
0.23487,0.0094,0.0094,0.0,0.0,-50.0,12986472,25298,30314,1
0.26704,0.0094,0.0094,0.0,0.0,-50.0,12983243,25285,35000,1
0.26704,0.0094,0.0094,0.0,0.0,-50.0,12985142,25269,35264,1
0.26704,0.0094,0.0094,0.0,0.0,-50.0,12985797,25309,32496,1
0.30417,0.0813,0.0813,0.0,0.0,-50.0,12988459,25272,36457,1
0.30417,0.0813,0.0813,0.0,0.0,-50.0,12988812,25306,28604,1
0.30417,0.0813,0.0813,0.0,0.0,-50.0,12987984,25277,35421,1
0.33051,0.0813,0.0813,0.0,0.0,-50.0,13001599,25320,30969,1
0.33051,0.0813,0.0813,0.0,0.0,-50.0,12986277,25239,34635,1
0.33051,0.0813,0.0813,0.0,0.0,-50.0,12985930,25285,34638,1
0.35114,0.0813,0.0813,0.0,0.0,-50.0,12987511,25297,33874,1
0.35114,0.0813,0.0813,0.0,0.0,-50.0,12989486,25332,30243,1
0.35114,0.0813,0.0813,0.0,0.0,-50.0,12993271,25341,34631,1
0.38628,0.0813,0.0813,0.0,0.0,-50.0,12989995,25319,30875,1
0.38628,0.0813,0.0813,0.0,0.0,-50.0,12987932,25281,35128,1
0.38628,0.0813,0.0813,0.0,0.0,-50.0,12988812,25398,34993,1
0.41507,0.0813,0.0813,0.0,0.0,-50.0,12987683,25337,35252,1
0.41507,0.0813,0.0813,0.0,0.0,-50.0,12990918,25321,34717,1
0.41507,0.0813,0.0813,0.0,0.0,-50.0,12990648,25276,30058,1
0.44714,0.0813,0.0813,0.0,0.0,-50.0,12993409,25306,29115,1
0.44714,0.0813,0.0813,0.0,0.0,-50.0,12992983,25290,31720,1
0.44714,0.0813,0.0813,0.0,0.0,-50.0,12989780,25314,33916,1
0.47921,0.0813,0.0813,0.0,0.0,-50.0,12990412,25319,34911,1
0.47921,0.0813,0.0813,0.0,0.0,-50.0,12991090,25334,30685,1
0.47921,0.0813,0.0813,0.0,0.0,-50.0,12989811,25322,29627,1
0.51096,0.0813,0.0813,0.0,0.0,-50.0,12993832,25348,36510,1
0.51096,0.0813,0.0813,0.0,0.0,-50.0,12991764,25294,31962,1
0.51096,0.0813,0.0813,0.0,0.0,-50.0,12994581,25293,30510,1
0.53494,0.2281,0.225,0.0,0.0,-50.0,12991482,25333,32503,1
0.53634,0.2281,0.225,0.0,0.0,-50.0,12995536,25293,37462,1
0.53634,0.2281,0.225,0.0,0.0,-50.0,12995120,25352,33337,1
0.56656,0.2281,0.225,0.0,0.0,-50.0,12995538,25399,30797,1
0.56656,0.2281,0.225,0.0,0.0,-50.0,12992036,25410,33514,1
0.56656,0.2281,0.225,0.0,0.0,-50.0,12997428,25343,33694,1
0.59987,0.2281,0.225,0.0,0.0,-50.0,12996848,25351,34067,1
0.59987,0.2281,0.225,0.0,0.0,-50.0,12993557,25357,31302,1
0.59987,0.2281,0.225,0.0,0.0,-50.0,12996215,25372,30750,1
0.63072,0.2281,0.225,0.0,0.0,-50.0,12999434,25284,32861,1
0.63072,0.2281,0.225,0.0,0.0,-50.0,12996193,25359,37015,1
0.63072,0.2281,0.225,0.0,0.0,-50.0,12994328,25380,37179,1
0.66253,0.2281,0.225,0.0,0.0,-50.0,12995613,25331,35581,1
0.66253,0.2281,0.225,0.0,0.0,-50.0,12997888,25335,35459,1
0.66253,0.2281,0.225,0.0,0.0,-50.0,13000864,25335,36625,1
0.69687,0.2281,0.225,0.0,0.0,-50.0,12997771,25403,32934,1
0.69687,0.2281,0.225,0.0,0.0,-50.0,13001557,25325,31325,1
0.69687,0.2281,0.225,0.0,0.0,-50.0,12996610,25380,32607,1
0.71072,0.2281,0.225,0.0,0.0,-50.0,12998216,25370,29780,1
0.71072,0.2281,0.225,0.0,0.0,-50.0,12996669,25377,32925,1
0.71072,0.2281,0.225,0.0,0.0,-50.0,12999901,25380,37800,1
0.75269,0.4344,0.4344,0.0,0.0,-50.0,12999938,25352,33372,1
0.75269,0.4344,0.4344,0.0,0.0,-50.0,13005594,25352,31741,1
0.75269,0.4344,0.4344,0.0,0.0,-50.0,12998723,25334,34969,1
0.77466,0.4344,0.4344,0.0,0.0,-50.0,13000355,25311,32468,1
0.77466,0.4344,0.4344,0.0,0.0,-50.0,12999231,25379,30911,1
0.77466,0.4344,0.4344,0.0,0.0,-50.0,13006238,25358,33110,1
0.81276,0.4344,0.4344,0.0,0.0,-50.0,13006666,25381,31157,1
0.81276,0.4344,0.4344,0.0,0.0,-50.0,13001772,25369,32351,1
0.81276,0.4344,0.4344,0.0,0.0,-50.0,13000786,25413,33438,1
0.8332,0.4344,0.4344,0.0,0.0,-50.0,13000674,25377,31294,1
0.8332,0.4344,0.4344,0.0,0.0,-50.0,13005460,25390,31064,1
0.8332,0.4344,0.4344,0.0,0.0,-50.0,13010101,25425,32295,1
0.86154,0.4344,0.4344,0.0,0.0,-50.0,13007385,25429,28313,1
0.86154,0.4344,0.4344,0.0,0.0,-50.0,13005915,25379,32921,1
0.86154,0.4344,0.4344,0.0,0.0,-50.0,13010309,25395,31672,1
0.89337,0.4344,0.4344,0.0,0.0,-50.0,13004402,25415,36617,1
0.89337,0.4344,0.4344,0.0,0.0,-50.0,13007886,25350,31430,1
0.89337,0.4344,0.4344,0.0,0.0,-50.0,13011224,25429,33061,1
0.92792,0.4344,0.4344,0.0,0.0,-50.0,13008020,25429,30678,1
0.93067,0.4344,0.4344,0.0,0.0,-50.0,13007215,25421,29196,1
0.93067,0.4344,0.4344,0.0,0.0,-50.0,13008330,25409,32981,1
0.96013,0.7219,0.7219,0.0,0.0,-50.0,13008882,25422,31984,1
0.96013,0.7219,0.7219,0.0,0.0,-50.0,13012799,25451,31809,1
0.96013,0.7219,0.7219,0.0,0.0,-50.0,13010830,25401,31006,1
0.99405,0.7219,0.7219,0.0,0.0,-50.0,13009935,25427,31730,1
0.99405,0.7219,0.7219,0.0,0.0,-50.0,13006025,25445,32350,1
0.99405,0.7219,0.7219,0.0,0.0,-50.0,13009543,25443,35273,1
1.01005,0.7219,0.7219,0.0,0.0,-50.0,13006942,25442,37235,1
1.01005,0.7219,0.7219,0.0,0.0,-50.0,13010140,25389,33978,1
1.01005,0.7219,0.7219,0.0,0.0,-50.0,13009283,25509,32207,1
1.0419,0.7219,0.7219,0.0,0.0,-50.0,13007886,25450,37272,1
1.0419,0.7219,0.7219,0.0,0.0,-50.0,13008125,25534,30233,1
1.0419,0.7219,0.7219,0.0,0.0,-50.0,13006579,25432,35991,1
1.07337,0.7219,0.7219,0.0,0.0,-50.0,13008722,25491,33048,1
1.07337,0.7219,0.7219,0.0,0.0,-50.0,13005879,25494,31266,1
1.07337,0.7219,0.7219,0.0,0.0,-50.0,13004109,25510,32897,1
1.10506,0.7219,0.7219,0.0,0.0,-50.0,13009680,25508,32590,1
1.10506,0.7219,0.7219,0.0,0.0,-50.0,13007423,25472,34636,1
1.10506,0.7219,0.7219,0.0,0.0,-50.0,13009588,25518,38348,1
1.1388,0.7219,0.7219,0.0,0.0,-50.0,13006256,25469,31121,1
1.1388,0.7219,0.7219,0.0,0.0,-50.0,13008398,25493,37852,1
1.1388,0.7219,0.7219,0.0,0.0,-50.0,13008073,25474,35575,1
1.16908,1.0594,1.0594,0.0,0.0,-50.0,13007886,25405,29060,1
1.16908,1.0594,1.0594,0.0,0.0,-50.0,13007461,25486,33412,1
1.16908,1.0594,1.0594,0.0,0.0,-50.0,13009588,25494,29330,1
1.20161,1.0594,1.0594,0.0,0.0,-50.0,13005861,25482,34079,1
1.20161,1.0594,1.0594,0.0,0.0,-50.0,13008308,25507,31720,1
1.20161,1.0594,1.0594,0.0,0.0,-50.0,13006190,25536,38390,1
1.23493,1.0594,1.0594,0.0,0.0,-50.0,13005669,25534,34001,1
1.23493,1.0594,1.0594,0.0,0.0,-50.0,13005440,25526,31081,1
1.23493,1.0594,1.0594,0.0,0.0,-50.0,13004930,25499,34831,1
1.25477,1.0594,1.0594,0.0,0.0,-50.0,13006412,25593,32803,1
1.25477,1.0594,1.0594,0.0,0.0,-50.0,13005460,25511,31989,1
1.25477,1.0594,1.0594,0.0,0.0,-50.0,13007308,25579,35287,1
1.28221,1.0594,1.0594,0.0,0.0,-50.0,13007378,25507,32972,1
1.28485,1.0594,1.0594,0.0,0.0,-50.0,13003498,25543,33609,1
1.28485,1.0594,1.0594,0.0,0.0,-50.0,13004243,25546,31168,1
1.3134,1.0594,1.0594,0.0,0.0,-50.0,13005434,25509,32536,1
1.3134,1.0594,1.0594,0.0,0.0,-50.0,13009014,25531,31071,1
1.3134,1.0594,1.0594,0.0,0.0,-50.0,13006666,25525,26986,1
