t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,0.0,0.0,0.0,0.0,-32.0,12011544,25321,32646,1
0.0,0.0,0.0,0.0,0.0,-32.0,12013895,25238,35295,1
0.0,0.0,0.0,0.0,0.0,-32.0,12009381,25290,28695,1
0.032,0.0,0.0,0.0,0.0,-32.0,12009920,25303,32157,1
0.03494,0.0,0.0,0.0,0.0,-32.0,12009721,25286,30149,1
0.03494,0.0,0.0,0.0,0.0,-32.0,12009895,25313,32301,1
0.06946,0.0,0.0,0.0,0.0,-32.0,12013420,25253,34025,1
0.06946,0.0,0.0,0.0,0.0,-32.0,12009516,25253,34857,1
0.06946,0.0,0.0,0.0,0.0,-32.0,12008597,25282,34192,1
0.09574,0.0,0.0,0.0,0.0,-32.0,12009358,25291,38115,1
0.09574,0.0,0.0,0.0,0.0,-32.0,12009361,25312,34259,1
0.09574,0.0,0.0,0.0,0.0,-32.0,12010186,25261,30957,1
0.11354,0.0,0.0,0.0,0.0,-32.0,12009809,25285,30842,1
0.11354,0.0,0.0,0.0,0.0,-32.0,12008003,25314,34876,1
0.11354,0.0,0.0,0.0,0.0,-32.0,12007964,25217,33556,1
0.16324,0.0219,0.0219,0.0,0.0,-32.0,12008599,25227,28712,1
0.16324,0.0219,0.0219,0.0,0.0,-32.0,12008731,25302,32810,1
0.16324,0.0219,0.0219,0.0,0.0,-32.0,12010961,25241,36242,1
0.17924,0.0219,0.0219,0.0,0.0,-32.0,12007872,25266,30418,1
0.17924,0.0219,0.0219,0.0,0.0,-32.0,12006174,25341,33811,1
0.17924,0.0219,0.0219,0.0,0.0,-32.0,12008073,25318,34242,1
0.21366,0.0219,0.0219,0.0,0.0,-32.0,12007031,25311,36974,1
0.21366,0.0219,0.0219,0.0,0.0,-32.0,12007106,25317,35307,1
0.21366,0.0219,0.0219,0.0,0.0,-32.0,12005698,25282,28031,1
0.24512,0.0219,0.0219,0.0,0.0,-32.0,12007070,25335,28644,1
0.24512,0.0219,0.0219,0.0,0.0,-32.0,12005469,25246,31853,1
0.24512,0.0219,0.0219,0.0,0.0,-32.0,12005270,25299,33691,1
0.2768,0.0219,0.0219,0.0,0.0,-32.0,12008434,25302,32615,1
0.2768,0.0219,0.0219,0.0,0.0,-32.0,12010859,25308,29931,1
0.2768,0.0219,0.0219,0.0,0.0,-32.0,12005052,25328,37819,1
0.31472,0.0219,0.0219,0.0,0.0,-32.0,12004494,25334,33070,1
0.31472,0.0219,0.0219,0.0,0.0,-32.0,12006783,25256,36596,1
0.31472,0.0219,0.0219,0.0,0.0,-32.0,12002876,25276,36106,1
0.32478,0.0219,0.0219,0.0,0.0,-32.0,12003211,25336,38162,1
0.32478,0.0219,0.0219,0.0,0.0,-32.0,12003389,25282,32571,1
0.32478,0.0219,0.0219,0.0,0.0,-32.0,12003065,25251,33022,1
