timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
1774177181968,11850514.0000,776.0000,11209.0000,775.0000,11219.0000
1774177181983,11849226.0000,776.0000,11642.0000,781.0000,12198.0000
1774177182014,11851295.0000,776.0000,11366.0000,766.0000,11321.0000
1774177182028,11853288.0000,776.0000,11333.0000,772.0000,11192.0000
1774177182028,11851343.0000,775.0000,11411.0000,773.0000,11436.0000
1774177182030,11851201.0000,775.0000,11668.0000,780.0000,11707.0000
1774177182047,11849548.0000,775.0000,11151.0000,769.0000,10617.0000
1774177182062,11855655.0000,775.0000,11341.0000,765.0000,11331.0000
1774177182094,11848749.0000,774.0000,11272.0000,779.0000,11286.0000
1774177182094,11850436.0000,776.0000,11356.0000,792.0000,11317.0000
1774177182094,11850869.0000,776.0000,11590.0000,764.0000,12033.0000
1774177182109,11851112.0000,776.0000,11360.0000,767.0000,11226.0000
1774177182128,11851110.0000,774.0000,11322.0000,786.0000,11634.0000
1774177182154,11853199.0000,775.0000,11094.0000,775.0000,11014.0000
1774177182157,11851975.0000,775.0000,11310.0000,776.0000,11022.0000
1774177182170,11851570.0000,775.0000,11244.0000,775.0000,11321.0000
1774177182173,11850242.0000,775.0000,11273.0000,772.0000,11007.0000
1774177182189,11851040.0000,776.0000,11422.0000,780.0000,11533.0000
1774177182206,11852994.0000,776.0000,11360.0000,772.0000,11433.0000
1774177182222,11851110.0000,775.0000,11273.0000,778.0000,12178.0000
1774177182236,11852994.0000,775.0000,11357.0000,776.0000,11490.0000
1774177182250,11851533.0000,775.0000,11315.0000,780.0000,11042.0000
1774177182259,11851669.0000,775.0000,11536.0000,774.0000,11978.0000
1774177182273,11851538.0000,775.0000,11511.0000,788.0000,10957.0000
1774177182289,11850987.0000,775.0000,11294.0000,792.0000,10920.0000
1774177182315,11858071.0000,777.0000,11376.0000,787.0000,11579.0000
1774177182328,11851565.0000,777.0000,11355.0000,793.0000,11332.0000
1774177182328,11850910.0000,777.0000,11441.0000,774.0000,11566.0000
1774177182338,11851553.0000,778.0000,11194.0000,774.0000,11410.0000
1774177182355,11850616.0000,777.0000,11180.0000,781.0000,11297.0000
1774177182363,11850481.0000,776.0000,11208.0000,762.0000,11515.0000
1774177182379,11850937.0000,775.0000,11159.0000,774.0000,10925.0000
1774177182396,11850142.0000,774.0000,11278.0000,767.0000,11628.0000
1774177182407,11851174.0000,775.0000,11330.0000,808.0000,11477.0000
1774177182414,11852261.0000,776.0000,11153.0000,783.0000,12184.0000
1774177182431,11851110.0000,777.0000,11297.0000,751.0000,11489.0000
1774177182444,11851603.0000,776.0000,11207.0000,785.0000,11228.0000
1774177182458,11850179.0000,776.0000,11220.0000,768.0000,10971.0000
1774177182474,11850745.0000,776.0000,10989.0000,781.0000,10366.0000
1774177182488,11851870.0000,775.0000,11198.0000,770.0000,11626.0000
1774177182503,11851221.0000,774.0000,11131.0000,775.0000,11350.0000
1774177182506,11853987.0000,775.0000,11333.0000,778.0000,11307.0000
1774177182528,11851347.0000,775.0000,11177.0000,773.0000,11103.0000
1774177182554,11850260.0000,774.0000,11171.0000,752.0000,11222.0000
1774177182566,11851070.0000,773.0000,11212.0000,778.0000,11408.0000
1774177182566,11849501.0000,774.0000,11180.0000,790.0000,11315.0000
1774177182571,11850481.0000,775.0000,11066.0000,773.0000,11624.0000
1774177182585,11853568.0000,774.0000,11091.0000,787.0000,11315.0000
1774177182605,11852299.0000,775.0000,11057.0000,776.0000,11183.0000
1774177182637,11852593.0000,776.0000,10923.0000,765.0000,10622.0000
1774177182646,11862187.0000,776.0000,11102.0000,777.0000,11335.0000
1774177182646,11851500.0000,775.0000,11099.0000,768.0000,11123.0000
1774177182656,11852655.0000,774.0000,11194.0000,764.0000,11669.0000
1774177182677,11850539.0000,775.0000,11015.0000,761.0000,10557.0000
1774177182685,11852162.0000,775.0000,11057.0000,791.0000,11487.0000
1774177182707,11852036.0000,775.0000,10992.0000,765.0000,10975.0000
1774177182714,11852331.0000,775.0000,11172.0000,777.0000,11748.0000
1774177182728,11850718.0000,776.0000,11192.0000,775.0000,11527.0000
1774177182744,11851163.0000,775.0000,11106.0000,773.0000,10973.0000
1774177182744,11852023.0000,775.0000,11211.0000,775.0000,11276.0000
1774177182759,11851895.0000,775.0000,11134.0000,791.0000,11637.0000
1774177182787,11851749.0000,776.0000,11060.0000,764.0000,11254.0000
1774177182795,11851201.0000,776.0000,11100.0000,777.0000,11362.0000
1774177182811,11852441.0000,775.0000,11201.0000,755.0000,11050.0000
1774177182839,11853915.0000,775.0000,11091.0000,766.0000,11212.0000
1774177182851,11852994.0000,776.0000,10878.0000,774.0000,10881.0000
1774177182851,11852880.0000,776.0000,11072.0000,776.0000,11224.0000
1774177182859,11852236.0000,776.0000,11057.0000,775.0000,11018.0000
1774177182873,11852490.0000,776.0000,11125.0000,781.0000,11468.0000
1774177182887,11852466.0000,776.0000,11260.0000,780.0000,11168.0000
1774177182905,11851518.0000,777.0000,10964.0000,783.0000,10999.0000
1774177182924,11851040.0000,777.0000,10996.0000,778.0000,11010.0000
1774177182937,11851356.0000,777.0000,10918.0000,769.0000,11047.0000
1774177182954,11851007.0000,776.0000,11042.0000,780.0000,11411.0000
1774177182962,11856690.0000,776.0000,10901.0000,779.0000,10841.0000
1774177182977,11851914.0000,777.0000,10859.0000,788.0000,11173.0000
1774177182985,11851938.0000,777.0000,10762.0000,772.0000,10545.0000
1774177182999,11851949.0000,776.0000,10954.0000,771.0000,10603.0000
1774177183030,11852225.0000,777.0000,10880.0000,777.0000,10649.0000
1774177183040,11851360.0000,777.0000,11111.0000,806.0000,11495.0000
1774177183040,11852561.0000,777.0000,10869.0000,771.0000,10456.0000
1774177183046,11851633.0000,776.0000,11126.0000,773.0000,10939.0000
1774177183071,11851749.0000,776.0000,10807.0000,767.0000,10526.0000
1774177183078,11852684.0000,776.0000,11185.0000,781.0000,11644.0000
1774177183104,11851385.0000,776.0000,10889.0000,771.0000,11041.0000
1774177183104,11851110.0000,775.0000,10824.0000,777.0000,10633.0000
1774177183116,11855194.0000,776.0000,10917.0000,774.0000,10713.0000
1774177183136,11850002.0000,776.0000,11122.0000,776.0000,11424.0000
1774177183147,11850585.0000,775.0000,10909.0000,773.0000,10585.0000
1774177183157,11851178.0000,775.0000,10854.0000,767.0000,10890.0000
1774177183172,11851745.0000,775.0000,11047.0000,769.0000,11298.0000
1774177183183,11852273.0000,775.0000,10936.0000,774.0000,10808.0000
1774177183189,11852111.0000,776.0000,10890.0000,777.0000,10743.0000
1774177183204,11851272.0000,776.0000,11042.0000,755.0000,10837.0000
1774177183220,11850603.0000,777.0000,10929.0000,771.0000,11330.0000
1774177183252,11851597.0000,776.0000,11049.0000,775.0000,10851.0000
1774177183262,11850933.0000,776.0000,11104.0000,782.0000,11603.0000
1774177183264,11851110.0000,776.0000,10837.0000,780.0000,11311.0000
1774177183270,11850045.0000,776.0000,11293.0000,771.0000,11166.0000
1774177183286,11851538.0000,777.0000,11121.0000,780.0000,11026.0000
1774177183309,11850561.0000,777.0000,11063.0000,787.0000,11080.0000
1774177183332,11851497.0000,777.0000,11001.0000,783.0000,11112.0000
1774177183340,11850910.0000,777.0000,11236.0000,771.0000,11501.0000
1774177183342,11854210.0000,777.0000,10863.0000,783.0000,10463.0000
1774177183348,11854520.0000,776.0000,11360.0000,770.0000,11931.0000
