timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
1774178848463,11192704.0000,875.0000,11197.0000,873.0000,11252.0000
1774178848486,11192852.0000,875.0000,11200.0000,879.0000,11473.0000
1774178848502,11196532.0000,875.0000,11138.0000,865.0000,11564.0000
1774178848502,11194471.0000,874.0000,11064.0000,864.0000,10954.0000
1774178848502,11194139.0000,874.0000,11133.0000,862.0000,10977.0000
1774178848518,11195453.0000,873.0000,11148.0000,873.0000,11718.0000
1774178848534,11195131.0000,873.0000,11223.0000,880.0000,11333.0000
1774178848550,11192477.0000,872.0000,11030.0000,879.0000,10244.0000
1774178848565,11193239.0000,872.0000,11226.0000,859.0000,11466.0000
1774178848581,11194139.0000,873.0000,11068.0000,879.0000,11286.0000
1774178848597,11193545.0000,874.0000,11003.0000,883.0000,10647.0000
1774178848613,11191685.0000,874.0000,11227.0000,892.0000,11038.0000
1774178848613,11193368.0000,873.0000,11153.0000,866.0000,10979.0000
1774178848629,11192993.0000,873.0000,11029.0000,882.0000,11272.0000
1774178848645,11192524.0000,873.0000,11098.0000,862.0000,11099.0000
1774178848661,11192760.0000,873.0000,11185.0000,870.0000,10985.0000
1774178848693,11195111.0000,873.0000,11278.0000,875.0000,11569.0000
1774178848693,11191969.0000,873.0000,11146.0000,865.0000,11563.0000
1774178848693,11192609.0000,874.0000,10892.0000,879.0000,10450.0000
1774178848699,11193037.0000,874.0000,11255.0000,877.0000,11170.0000
1774178848725,11195659.0000,875.0000,11235.0000,882.0000,11225.0000
1774178848725,11193139.0000,876.0000,11152.0000,883.0000,11238.0000
1774178848756,11192498.0000,877.0000,11029.0000,899.0000,10756.0000
1774178848757,11194102.0000,876.0000,11265.0000,870.0000,11046.0000
1774178848773,11193556.0000,876.0000,11182.0000,877.0000,10967.0000
1774178848773,11192003.0000,873.0000,11168.0000,868.0000,10713.0000
1774178848801,11195830.0000,872.0000,11230.0000,876.0000,11442.0000
1774178848834,11193611.0000,873.0000,11318.0000,875.0000,11585.0000
1774178848836,11192852.0000,873.0000,10953.0000,856.0000,10319.0000
1774178848838,11193353.0000,872.0000,11166.0000,881.0000,11336.0000
1774178848846,11192310.0000,873.0000,11457.0000,876.0000,11543.0000
1774178848852,11191247.0000,873.0000,11126.0000,845.0000,11079.0000
1774178848877,11191930.0000,874.0000,10957.0000,871.0000,10772.0000
1774178848884,11194665.0000,873.0000,11128.0000,880.0000,10727.0000
1774178848909,11193080.0000,873.0000,11129.0000,873.0000,10755.0000
1774178848915,11193631.0000,873.0000,11335.0000,874.0000,11950.0000
1774178848915,11193109.0000,873.0000,11235.0000,863.0000,11614.0000
1774178848931,11194126.0000,873.0000,11058.0000,867.0000,11098.0000
1774178848953,11191328.0000,874.0000,10997.0000,888.0000,11113.0000
1774178848979,11192332.0000,873.0000,11222.0000,879.0000,11590.0000
1774178848979,11192029.0000,873.0000,11015.0000,879.0000,11167.0000
1774178848995,11193897.0000,873.0000,10985.0000,845.0000,10245.0000
1774178849011,11191782.0000,872.0000,11101.0000,864.0000,11202.0000
1774178849011,11192353.0000,872.0000,11193.0000,855.0000,11199.0000
1774178849042,11192025.0000,871.0000,11250.0000,878.0000,10917.0000
1774178849053,11192388.0000,872.0000,11255.0000,868.0000,11349.0000
1774178849058,11192041.0000,872.0000,11080.0000,877.0000,11112.0000
1774178849074,11192394.0000,874.0000,11214.0000,898.0000,11045.0000
1774178849085,11194722.0000,873.0000,11334.0000,894.0000,11166.0000
1774178849105,11194233.0000,874.0000,11100.0000,879.0000,11139.0000
1774178849120,11192616.0000,874.0000,11348.0000,877.0000,11338.0000
1774178849142,11194579.0000,874.0000,11312.0000,883.0000,11757.0000
1774178849153,11192836.0000,873.0000,11048.0000,869.0000,11185.0000
1774178849153,11192536.0000,874.0000,11140.0000,872.0000,10964.0000
1774178849153,11193107.0000,874.0000,11154.0000,867.0000,11112.0000
1774178849169,11193897.0000,873.0000,11264.0000,869.0000,11464.0000
1774178849186,11192769.0000,874.0000,11247.0000,869.0000,11264.0000
1774178849203,11193468.0000,874.0000,11142.0000,881.0000,11084.0000
1774178849203,11193007.0000,875.0000,10965.0000,880.0000,10604.0000
1774178849217,11194034.0000,875.0000,11249.0000,870.0000,11404.0000
1774178849238,11193118.0000,875.0000,11277.0000,875.0000,11152.0000
1774178849250,11194379.0000,875.0000,11132.0000,873.0000,11646.0000
1774178849265,11194586.0000,874.0000,11082.0000,876.0000,10774.0000
1774178849286,11194047.0000,874.0000,11151.0000,851.0000,10830.0000
