timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
1774178354788,11387811.0000,843.0000,11017.0000,844.0000,10364.0000
1774178354801,11385855.0000,843.0000,11104.0000,841.0000,11761.0000
1774178354817,11387459.0000,843.0000,11092.0000,842.0000,11184.0000
1774178354828,11388171.0000,843.0000,11235.0000,847.0000,11781.0000
1774178354843,11387717.0000,844.0000,11165.0000,851.0000,11261.0000
1774178354845,11387206.0000,843.0000,11182.0000,842.0000,11376.0000
1774178354853,11387010.0000,843.0000,11332.0000,842.0000,11038.0000
1774178354875,11384997.0000,843.0000,11292.0000,853.0000,11283.0000
1774178354891,11386767.0000,842.0000,11254.0000,845.0000,11412.0000
1774178354907,11386225.0000,843.0000,11378.0000,845.0000,11221.0000
1774178354924,11385976.0000,843.0000,11220.0000,817.0000,11186.0000
1774178354939,11388041.0000,843.0000,11307.0000,848.0000,11271.0000
1774178354955,11386911.0000,844.0000,11302.0000,829.0000,11613.0000
1774178354955,11387717.0000,843.0000,11235.0000,841.0000,11213.0000
1774178354971,11386547.0000,843.0000,11196.0000,845.0000,11055.0000
1774178354986,11387795.0000,843.0000,11317.0000,836.0000,11552.0000
1774178355003,11390232.0000,843.0000,11307.0000,844.0000,11284.0000
1774178355018,11387049.0000,843.0000,11372.0000,837.0000,11282.0000
1774178355034,11386355.0000,843.0000,11245.0000,822.0000,11451.0000
1774178355034,11387081.0000,845.0000,11227.0000,854.0000,11004.0000
1774178355050,11387598.0000,845.0000,11364.0000,836.0000,11661.0000
1774178355066,11386446.0000,845.0000,11348.0000,854.0000,11243.0000
1774178355082,11386792.0000,845.0000,11321.0000,858.0000,11661.0000
1774178355098,11385728.0000,845.0000,11284.0000,849.0000,11403.0000
1774178355114,11387439.0000,846.0000,11236.0000,855.0000,11308.0000
1774178355137,11388973.0000,845.0000,11270.0000,816.0000,10916.0000
1774178355137,11388796.0000,844.0000,11374.0000,865.0000,11499.0000
1774178355137,11387017.0000,843.0000,11266.0000,841.0000,10968.0000
1774178355153,11387614.0000,843.0000,11283.0000,839.0000,11196.0000
1774178355170,11387190.0000,843.0000,11211.0000,839.0000,11266.0000
1774178355192,11386916.0000,843.0000,11240.0000,847.0000,11295.0000
1774178355217,11387501.0000,844.0000,11294.0000,843.0000,11242.0000
1774178355217,11389603.0000,844.0000,11428.0000,853.0000,11608.0000
1774178355217,11388352.0000,843.0000,11278.0000,835.0000,11659.0000
1774178355239,11385768.0000,844.0000,11281.0000,834.0000,11588.0000
1774178355256,11387329.0000,844.0000,10997.0000,844.0000,10215.0000
1774178355272,11388782.0000,844.0000,11406.0000,847.0000,11376.0000
1774178355287,11388741.0000,844.0000,11340.0000,837.0000,11499.0000
1774178355287,11387630.0000,843.0000,11254.0000,840.0000,11199.0000
1774178355303,11388171.0000,842.0000,11148.0000,834.0000,11069.0000
1774178355319,11389345.0000,842.0000,11198.0000,836.0000,11065.0000
1774178355335,11387550.0000,842.0000,11429.0000,849.0000,11550.0000
1774178355351,11386792.0000,842.0000,11368.0000,843.0000,11721.0000
1774178355367,11388657.0000,842.0000,11123.0000,848.0000,10424.0000
1774178355367,11388416.0000,842.0000,11262.0000,840.0000,11316.0000
1774178355382,11389563.0000,841.0000,11288.0000,839.0000,11345.0000
1774178355392,11387815.0000,842.0000,11209.0000,846.0000,11061.0000
1774178355414,11387906.0000,843.0000,11347.0000,846.0000,11461.0000
1774178355445,11388802.0000,842.0000,11369.0000,839.0000,11763.0000
1774178355445,11386690.0000,843.0000,11178.0000,844.0000,10990.0000
1774178355445,11388171.0000,843.0000,11254.0000,831.0000,11215.0000
1774178355455,11386080.0000,843.0000,11257.0000,842.0000,11138.0000
1774178355476,11388343.0000,844.0000,11145.0000,847.0000,11215.0000
1774178355492,11387658.0000,845.0000,11294.0000,857.0000,11460.0000
1774178355509,11386946.0000,845.0000,11221.0000,843.0000,11224.0000
1774178355509,11387049.0000,844.0000,11322.0000,840.0000,11521.0000
1774178355525,11388171.0000,843.0000,11245.0000,843.0000,11164.0000
1774178355541,11387543.0000,842.0000,11049.0000,837.0000,10649.0000
1774178355551,11393695.0000,843.0000,11196.0000,849.0000,11382.0000
1774178355569,11387653.0000,843.0000,11045.0000,847.0000,11011.0000
1774178355589,11387049.0000,843.0000,11394.0000,842.0000,11740.0000
1774178355605,11390129.0000,842.0000,11265.0000,837.0000,11223.0000
1774178355605,11387923.0000,843.0000,10956.0000,848.0000,10770.0000
1774178355620,11389661.0000,843.0000,11118.0000,845.0000,10877.0000
1774178355637,11387054.0000,843.0000,11184.0000,848.0000,11054.0000
