timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
1774177892326,11577260.0000,815.0000,11149.0000,818.0000,11076.0000
1774177892340,11578945.0000,816.0000,11283.0000,824.0000,11375.0000
1774177892341,11577428.0000,815.0000,11123.0000,819.0000,11526.0000
1774177892356,11576731.0000,814.0000,11148.0000,819.0000,10833.0000
1774177892372,11577666.0000,813.0000,11304.0000,805.0000,11594.0000
1774177892387,11579116.0000,812.0000,11528.0000,792.0000,11683.0000
1774177892402,11577197.0000,813.0000,11357.0000,813.0000,11393.0000
1774177892417,11580733.0000,814.0000,11282.0000,816.0000,11340.0000
1774177892450,11577980.0000,813.0000,11353.0000,816.0000,11513.0000
1774177892451,11577186.0000,814.0000,11472.0000,820.0000,11313.0000
1774177892451,11576933.0000,814.0000,11350.0000,810.0000,11599.0000
1774177892451,11578088.0000,814.0000,11297.0000,819.0000,10981.0000
1774177892475,11579569.0000,815.0000,11226.0000,833.0000,11177.0000
1774177892485,11577179.0000,814.0000,11309.0000,828.0000,11062.0000
1774177892502,11579050.0000,814.0000,11573.0000,810.0000,11816.0000
1774177892516,11577713.0000,814.0000,11388.0000,818.0000,11012.0000
1774177892539,11577407.0000,814.0000,11297.0000,811.0000,11299.0000
1774177892546,11577246.0000,815.0000,11352.0000,813.0000,11438.0000
1774177892546,11577275.0000,816.0000,11202.0000,814.0000,10818.0000
1774177892562,11577543.0000,816.0000,11115.0000,812.0000,11257.0000
1774177892578,11579208.0000,816.0000,11264.0000,813.0000,11065.0000
1774177892594,11577117.0000,816.0000,11380.0000,827.0000,11019.0000
1774177892612,11576833.0000,815.0000,11266.0000,810.0000,11426.0000
1774177892626,11577216.0000,816.0000,11394.0000,817.0000,11638.0000
1774177892642,11577649.0000,816.0000,11191.0000,814.0000,11190.0000
1774177892658,11577914.0000,816.0000,11336.0000,804.0000,11500.0000
1774177892658,11577728.0000,816.0000,11273.0000,808.0000,10750.0000
1774177892674,11579569.0000,814.0000,11325.0000,813.0000,11394.0000
1774177892700,11579262.0000,815.0000,11491.0000,819.0000,11640.0000
1774177892733,11577087.0000,814.0000,11282.0000,806.0000,11457.0000
1774177892733,11576999.0000,814.0000,11572.0000,823.0000,11667.0000
1774177892737,11577505.0000,814.0000,11511.0000,820.0000,11435.0000
1774177892737,11577115.0000,814.0000,11189.0000,843.0000,10972.0000
1774177892753,11578172.0000,814.0000,11164.0000,815.0000,11180.0000
1774177892770,11577833.0000,815.0000,11237.0000,838.0000,11255.0000
1774177892785,11576667.0000,815.0000,11141.0000,811.0000,11022.0000
1774177892785,11576336.0000,815.0000,11119.0000,812.0000,11583.0000
1774177892801,11577293.0000,815.0000,11160.0000,816.0000,11038.0000
1774177892817,11579132.0000,815.0000,11170.0000,822.0000,11021.0000
1774177892835,11577738.0000,815.0000,11260.0000,817.0000,11334.0000
1774177892869,11576094.0000,815.0000,11229.0000,828.0000,11020.0000
1774177892869,11577197.0000,816.0000,11417.0000,821.0000,11331.0000
1774177892881,11577372.0000,814.0000,11431.0000,822.0000,11691.0000
1774177892881,11577115.0000,814.0000,11215.0000,819.0000,11323.0000
1774177892897,11575712.0000,814.0000,11298.0000,815.0000,11382.0000
1774177892913,11578506.0000,814.0000,11320.0000,811.0000,11354.0000
1774177892929,11578027.0000,815.0000,11258.0000,810.0000,11084.0000
1774177892945,11576350.0000,813.0000,11353.0000,808.0000,11752.0000
1774177892945,11576787.0000,814.0000,11397.0000,818.0000,11426.0000
1774177892960,11576331.0000,814.0000,11176.0000,816.0000,11442.0000
1774177892984,11577115.0000,815.0000,11135.0000,800.0000,11353.0000
1774177893000,11578300.0000,815.0000,11374.0000,815.0000,11112.0000
1774177893016,11578172.0000,815.0000,11274.0000,825.0000,11144.0000
1774177893016,11577926.0000,815.0000,11267.0000,799.0000,11225.0000
1774177893033,11576173.0000,814.0000,11452.0000,809.0000,11495.0000
1774177893050,11577182.0000,815.0000,11211.0000,805.0000,11068.0000
1774177893068,11583266.0000,814.0000,11353.0000,813.0000,11724.0000
1774177893078,11579367.0000,815.0000,11358.0000,823.0000,11279.0000
1774177893100,11576396.0000,815.0000,11309.0000,812.0000,11518.0000
1774177893100,11575089.0000,815.0000,11171.0000,829.0000,11239.0000
1774177893104,11578043.0000,815.0000,11303.0000,816.0000,11376.0000
1774177893126,11582240.0000,816.0000,11365.0000,808.0000,11046.0000
1774177893135,11578374.0000,816.0000,11298.0000,832.0000,11369.0000
1774177893151,11577738.0000,815.0000,11243.0000,817.0000,11026.0000
1774177893183,11579216.0000,814.0000,11370.0000,815.0000,11269.0000
1774177893183,11578254.0000,814.0000,11354.0000,802.0000,11062.0000
1774177893183,11576497.0000,813.0000,11092.0000,815.0000,10802.0000
1774177893199,11576985.0000,813.0000,11257.0000,823.0000,11539.0000
1774177893215,11580439.0000,815.0000,11438.0000,814.0000,11455.0000
1774177893232,11580252.0000,814.0000,11412.0000,810.0000,11379.0000
1774177893263,11579230.0000,815.0000,11136.0000,825.0000,11208.0000
1774177893263,11577560.0000,814.0000,11179.0000,815.0000,11133.0000
1774177893263,11577115.0000,814.0000,11218.0000,788.0000,11181.0000
1774177893279,11580822.0000,815.0000,11220.0000,829.0000,11032.0000
1774177893300,11578465.0000,814.0000,11244.0000,817.0000,11104.0000
1774177893316,11576947.0000,813.0000,11350.0000,811.0000,11373.0000
1774177893333,11578079.0000,813.0000,11189.0000,822.0000,11037.0000
1774177893333,11577120.0000,813.0000,11450.0000,814.0000,11084.0000
1774177893350,11576867.0000,814.0000,11306.0000,831.0000,11587.0000
1774177893366,11577351.0000,814.0000,11257.0000,824.0000,11545.0000
1774177893383,11577233.0000,815.0000,11371.0000,833.0000,11549.0000
1774177893391,11577635.0000,817.0000,11226.0000,832.0000,10891.0000
1774177893407,11578255.0000,816.0000,11175.0000,819.0000,11166.0000
1774177893423,11578780.0000,816.0000,11266.0000,811.0000,11108.0000
1774177893439,11576826.0000,817.0000,11527.0000,819.0000,11264.0000
1774177893439,11578918.0000,815.0000,11245.0000,827.0000,11196.0000
1774177893454,11577887.0000,815.0000,11258.0000,825.0000,11323.0000
1774177893470,11577623.0000,815.0000,11230.0000,799.0000,11051.0000
1774177893486,11577325.0000,816.0000,11333.0000,823.0000,11668.0000
1774177893502,11577363.0000,816.0000,11223.0000,829.0000,10893.0000
1774177893518,11577220.0000,816.0000,11297.0000,823.0000,11354.0000
1774177893533,11578577.0000,815.0000,11210.0000,822.0000,11508.0000
1774177893533,11580477.0000,815.0000,11181.0000,814.0000,11035.0000
1774177893549,11587142.0000,816.0000,11209.0000,834.0000,10933.0000
1774177893565,11577000.0000,815.0000,11376.0000,794.0000,10964.0000
1774177893585,11578228.0000,814.0000,11219.0000,815.0000,10701.0000
1774177893600,11581824.0000,814.0000,11191.0000,814.0000,11399.0000
1774177893618,11578736.0000,813.0000,11295.0000,798.0000,11174.0000
1774177893633,11577147.0000,813.0000,11374.0000,820.0000,11237.0000
1774177893650,11578955.0000,813.0000,11401.0000,810.0000,11319.0000
1774177893650,11577584.0000,814.0000,11398.0000,825.0000,10973.0000
1774177893661,11580263.0000,814.0000,11145.0000,825.0000,11084.0000
1774177893683,11578318.0000,815.0000,11349.0000,827.0000,11197.0000
1774177893700,11577288.0000,814.0000,11100.0000,821.0000,10879.0000
1774177893717,11576649.0000,814.0000,11345.0000,820.0000,10987.0000
1774177893717,11579569.0000,814.0000,11355.0000,822.0000,11245.0000
1774177893733,11577807.0000,815.0000,11307.0000,823.0000,11294.0000
1774177893750,11578723.0000,815.0000,11389.0000,819.0000,11373.0000
1774177893757,11578780.0000,814.0000,11209.0000,828.0000,11267.0000
1774177893789,11578394.0000,814.0000,11116.0000,810.0000,10916.0000
1774177893789,11577515.0000,814.0000,11446.0000,816.0000,11886.0000
